chr	pos	fst	stat
Chr01	8375000	0.171596	2.mid	
Chr01	8425000	0.198374	2.mid	
Chr01	8475000	0.348461	3.high	
Chr01	8525000	0.258671	2.mid	
Chr01	8575000	0.163979	2.mid	
Chr01	8625000	0.111408	2.mid	
Chr01	8675000	0.171347	2.mid	
Chr01	8725000	0.319557	2.mid	
Chr01	8775000	0.148055	2.mid	
Chr01	8825000	0.247418	2.mid	
Chr01	8875000	0.241437	2.mid	
Chr01	8925000	0.211706	2.mid	
Chr01	8975000	0.231082	2.mid	
Chr01	9025000	0.250783	2.mid	
Chr01	9075000	0.301738	2.mid	
Chr01	9125000	0.158005	2.mid	
Chr01	9175000	0.218804	2.mid	
Chr01	9225000	0.146068	1.low	
Chr01	9275000	0.135466	1.low	
Chr01	9325000	0.135653	1.low	
Chr01	9375000	0.103837	1.low	
Chr01	9425000	0.103730	1.low	
Chr01	9475000	0.109766	1.low	
Chr01	9525000	0.211851	2.mid	
Chr01	9575000	0.214059	2.mid	
Chr01	9625000	0.226664	2.mid	
Chr01	9675000	0.389385	3.high	
Chr01	9725000	0.275986	3.high	
Chr01	9775000	0.139206	2.mid	
Chr01	9825000	0.247882	2.mid	
Chr01	9875000	0.207636	2.mid	
Chr01	9925000	0.253706	2.mid	
Chr01	9975000	0.256315	2.mid	
Chr01	10025000	0.160669	2.mid	
Chr01	10075000	0.269737	2.mid	
Chr01	10125000	0.199573	2.mid	
Chr01	10175000	0.181872	2.mid	
Chr01	10225000	0.185835	2.mid	
Chr01	10275000	0.247426	2.mid	
Chr01	10325000	0.195637	2.mid	
Chr01	10375000	0.214102	2.mid	
Chr01	10425000	0.189278	2.mid	
Chr01	10475000	0.142069	2.mid	
Chr01	10525000	0.259969	2.mid	
Chr01	10575000	0.166074	2.mid	
Chr01	10625000	0.285193	3.high	
Chr01	10675000	0.328687	3.high	
Chr01	10725000	0.278495	3.high	
Chr01	10775000	0.179679	2.mid	
Chr01	10825000	0.194093	2.mid	
Chr01	10875000	0.182789	2.mid	
Chr01	10925000	0.178405	2.mid	
Chr01	10975000	0.147831	1.low	
Chr01	11025000	0.122746	1.low	
Chr01	11075000	0.143896	1.low	
Chr01	11125000	0.196339	2.mid	
Chr01	11175000	0.257416	2.mid	
Chr01	11225000	0.206082	2.mid	
Chr01	11275000	0.312752	3.high	
Chr01	11325000	0.387808	3.high	
Chr01	11375000	0.285795	3.high	
Chr01	11425000	0.245177	3.high	
Chr01	11475000	0.320752	3.high	
Chr01	11525000	0.312017	3.high	
Chr01	11575000	0.298319	3.high	
Chr01	11625000	0.307864	3.high	
Chr01	11675000	0.319855	3.high	
Chr01	11725000	0.292202	3.high	
Chr01	11775000	0.313276	3.high	
Chr01	11825000	0.205044	2.mid	
Chr01	11875000	0.189682	2.mid	
Chr01	11925000	0.275700	2.mid	
Chr01	11975000	0.251595	2.mid	
Chr01	12025000	0.295080	3.high	
Chr01	12075000	0.534802	3.high	
Chr01	12125000	0.519304	3.high	
Chr01	12175000	0.402804	3.high	
Chr01	12225000	0.192294	2.mid	
Chr01	12275000	0.258636	2.mid	
Chr01	12325000	0.170826	2.mid	
Chr01	12375000	0.234021	2.mid	
Chr01	12425000	0.203413	2.mid	
Chr01	12475000	0.190164	2.mid	
Chr01	12525000	0.179346	2.mid	
Chr01	12575000	0.223519	2.mid	
Chr01	12625000	0.221162	2.mid	
Chr01	12675000	0.194452	2.mid	
Chr01	12725000	0.193177	2.mid	
Chr01	12775000	0.196285	2.mid	
Chr01	12825000	0.328490	2.mid	
Chr01	12875000	0.253107	2.mid	
Chr01	12925000	0.281857	2.mid	
Chr01	12975000	0.171595	2.mid	
Chr01	13025000	0.227214	2.mid	
Chr01	13075000	0.118612	2.mid	
Chr01	13125000	0.150998	2.mid	
Chr01	13175000	0.264103	2.mid	
Chr01	13225000	0.327845	3.high	
Chr01	13275000	0.351458	3.high	
Chr01	13325000	0.287413	3.high	
Chr01	13375000	0.285244	3.high	
Chr01	13425000	0.137008	2.mid	
Chr01	13475000	0.155486	2.mid	
Chr01	13525000	0.146328	2.mid	
Chr01	13575000	0.269903	2.mid	
Chr01	13625000	0.269489	2.mid	
Chr01	13675000	0.215525	2.mid	
Chr01	13725000	0.306123	2.mid	
Chr01	13775000	0.161494	1.low	
Chr01	13825000	0.111548	1.low	
Chr01	13875000	0.116346	1.low	
Chr01	13925000	0.229476	1.low	
Chr01	13975000	0.142409	1.low	
Chr01	14025000	0.127259	1.low	
Chr01	14075000	0.115622	1.low	
Chr01	14125000	0.213598	1.low	
Chr01	14175000	0.130833	1.low	
Chr01	14225000	0.171406	1.low	
Chr01	14275000	0.131522	1.low	
Chr01	14325000	0.231321	2.mid	
Chr01	14375000	0.306875	2.mid	
Chr01	14425000	0.205632	2.mid	
Chr01	14475000	0.142679	2.mid	
Chr01	14525000	0.269925	2.mid	
Chr01	14575000	0.205049	2.mid	
Chr01	14625000	0.125540	2.mid	
Chr01	14675000	0.159139	2.mid	
Chr01	14725000	0.194691	2.mid	
Chr01	14775000	0.233914	2.mid	
Chr01	14825000	0.229902	2.mid	
Chr01	14875000	0.159498	1.low	
Chr01	14925000	0.074955	1.low	
Chr01	14975000	0.106839	1.low	
Chr01	15025000	0.114161	1.low	
Chr01	15075000	0.213100	2.mid	
Chr01	15125000	0.220881	2.mid	
Chr01	15175000	0.186127	2.mid	
Chr01	15225000	0.162962	2.mid	
Chr01	15275000	0.155486	2.mid	
Chr01	15325000	0.249304	2.mid	
Chr01	15375000	0.125812	1.low	
Chr01	15425000	0.202540	1.low	
Chr01	15475000	0.154590	1.low	
Chr01	15525000	0.084281	1.low	
Chr01	15575000	0.135011	1.low	
Chr01	15625000	0.146874	1.low	
Chr01	15675000	0.146860	1.low	
Chr01	15725000	0.128195	1.low	
Chr01	15775000	0.098136	1.low	
Chr01	15825000	0.168719	1.low	
Chr01	15875000	0.132549	1.low	
Chr01	15925000	0.095029	1.low	
Chr01	15975000	0.258147	2.mid	
Chr01	16025000	0.167707	2.mid	
Chr01	16075000	0.239226	2.mid	
Chr01	16125000	0.135235	2.mid	
Chr01	16175000	0.282300	3.high	
Chr01	16225000	0.503381	3.high	
Chr01	16275000	0.195125	2.mid	
Chr01	16325000	0.204008	2.mid	
Chr01	16375000	0.201002	2.mid	
Chr01	16425000	0.228319	2.mid	
Chr01	16475000	0.290791	3.high	
Chr01	16525000	0.334949	3.high	
Chr01	16575000	0.198789	2.mid	
Chr01	16625000	0.093912	1.low	
Chr01	16675000	0.160576	1.low	
Chr01	16725000	0.126097	1.low	
Chr01	16775000	0.202149	1.low	
Chr01	16825000	0.204319	1.low	
Chr01	16875000	0.071043	1.low	
Chr01	16925000	0.151427	1.low	
Chr01	16975000	0.141955	1.low	
Chr01	17025000	0.141991	1.low	
Chr01	17075000	0.164830	1.low	
Chr01	17125000	0.173474	1.low	
Chr01	17175000	0.224562	2.mid	
Chr01	17225000	0.178881	2.mid	
Chr01	17275000	0.164624	2.mid	
Chr01	17325000	0.372822	3.high	
Chr01	17375000	0.220668	2.mid	
Chr01	17425000	0.220615	2.mid	
Chr01	17475000	0.255921	2.mid	
Chr01	17525000	0.319212	2.mid	
Chr01	17575000	0.146000	1.low	
Chr01	17625000	0.173484	1.low	
Chr01	17675000	0.129706	1.low	
Chr01	17725000	0.182708	1.low	
Chr01	17775000	0.113866	1.low	
Chr01	17825000	0.118613	1.low	
Chr01	17875000	0.149905	1.low	
Chr01	17925000	0.268323	2.mid	
Chr01	17975000	0.189134	2.mid	
Chr01	18075000	0.132016	1.low	
Chr01	18125000	0.065042	1.low	
Chr01	18175000	0.132768	1.low	
Chr01	18225000	0.178545	1.low	
Chr01	18275000	0.076344	1.low	
Chr01	18325000	0.210966	1.low	
Chr01	18375000	0.118838	1.low	
Chr01	18425000	0.136656	1.low	
Chr01	18475000	0.109831	1.low	
Chr01	18525000	0.125445	1.low	
Chr01	18575000	0.203084	1.low	
Chr01	18625000	0.113971	1.low	
Chr01	18675000	0.187227	1.low	
Chr01	18725000	0.123084	1.low	
Chr01	18775000	0.138129	1.low	
Chr01	18875000	0.125281	1.low	
Chr01	18925000	0.221434	2.mid	
Chr01	18975000	0.163572	2.mid	
Chr01	19025000	0.297523	3.high	
Chr01	19075000	0.323926	3.high	
Chr01	19125000	0.326835	3.high	
Chr01	19175000	0.194508	2.mid	
Chr01	19225000	0.199548	2.mid	
Chr01	19275000	0.114899	2.mid	
Chr01	19375000	0.221211	2.mid	
Chr01	19475000	0.222301	2.mid	
Chr01	19525000	0.193790	2.mid	
Chr01	19575000	0.131107	2.mid	
Chr01	19625000	0.187668	2.mid	
Chr01	19675000	0.077060	2.mid	
Chr01	19725000	0.162358	2.mid	
Chr01	19775000	0.206307	2.mid	
Chr01	19825000	0.189319	2.mid	
Chr01	19875000	0.039399	2.mid	
Chr01	19925000	0.160382	2.mid	
Chr01	19975000	0.168192	2.mid	
Chr01	20025000	0.262019	2.mid	
Chr01	20075000	0.167665	1.low	
Chr01	20125000	0.080997	1.low	
Chr01	20175000	0.145318	1.low	
Chr01	20225000	0.180514	1.low	
Chr01	20275000	0.134693	1.low	
Chr01	20325000	0.231654	2.mid	
Chr01	20375000	0.463064	3.high	
Chr01	20425000	0.437804	3.high	
Chr01	20475000	0.267393	3.high	
Chr01	20525000	0.331348	3.high	
Chr01	20575000	0.260246	3.high	
Chr01	20625000	0.250755	3.high	
Chr01	20675000	0.363231	3.high	
Chr01	20725000	0.300095	3.high	
Chr01	20775000	0.213399	2.mid	
Chr01	20825000	0.227782	2.mid	
Chr01	20875000	0.241223	2.mid	
Chr01	20925000	0.126736	2.mid	
Chr01	20975000	0.130940	2.mid	
Chr01	21025000	0.170276	2.mid	
Chr01	21075000	0.313036	2.mid	
Chr01	21125000	0.191853	2.mid	
Chr01	21175000	0.242304	2.mid	
Chr01	21225000	0.174312	2.mid	
Chr01	21275000	0.213880	2.mid	
Chr01	21325000	0.100400	2.mid	
Chr01	21375000	0.182930	2.mid	
Chr01	21425000	0.246348	2.mid	
Chr01	21475000	0.174114	2.mid	
Chr01	21525000	0.205965	2.mid	
Chr01	21575000	0.176097	2.mid	
Chr01	21625000	0.135698	2.mid	
Chr01	21675000	0.209816	2.mid	
Chr01	21725000	0.193342	2.mid	
Chr01	21775000	0.220764	2.mid	
Chr01	21825000	0.132952	2.mid	
Chr01	21875000	0.346944	3.high	
Chr01	21925000	0.453308	3.high	
Chr01	21975000	0.496013	3.high	
Chr01	22025000	0.294361	3.high	
Chr01	22075000	0.252693	2.mid	
Chr01	22125000	0.281467	2.mid	
Chr01	22175000	0.187395	2.mid	
Chr01	22225000	0.172730	2.mid	
Chr01	22275000	0.246618	2.mid	
Chr01	22325000	0.210295	2.mid	
Chr01	22375000	0.343624	3.high	
Chr01	22425000	0.328528	3.high	
Chr01	22475000	0.326260	3.high	
Chr01	22525000	0.263534	2.mid	
Chr01	22575000	0.152097	1.low	
Chr01	22625000	0.130473	1.low	
Chr01	22675000	0.092150	1.low	
Chr01	22725000	0.163399	1.low	
Chr01	22775000	0.129453	1.low	
Chr01	22825000	0.110575	1.low	
Chr01	22875000	0.103254	1.low	
Chr01	22925000	0.229698	1.low	
Chr01	22975000	0.069875	1.low	
Chr01	23025000	0.160047	1.low	
Chr01	23075000	0.168119	1.low	
Chr01	23125000	0.120862	1.low	
Chr01	23175000	0.063649	1.low	
Chr01	23225000	0.116832	1.low	
Chr01	23275000	0.174941	1.low	
Chr01	23325000	0.136417	1.low	
Chr01	23375000	0.123855	1.low	
Chr01	23425000	0.183028	2.mid	
Chr01	23475000	0.253431	2.mid	
Chr01	23525000	0.290493	3.high	
Chr01	23575000	0.259534	3.high	
Chr01	23625000	0.342523	3.high	
Chr01	23675000	0.263144	3.high	
Chr01	23725000	0.185280	3.high	
Chr01	23775000	0.238061	3.high	
Chr01	23825000	0.332084	3.high	
Chr01	23875000	0.421386	3.high	
Chr01	23925000	0.330671	3.high	
Chr01	23975000	0.255171	2.mid	
Chr01	24025000	0.126658	2.mid	
Chr01	24075000	0.234988	2.mid	
Chr01	24125000	0.210022	2.mid	
Chr01	24175000	0.285427	2.mid	
Chr01	24225000	0.309083	2.mid	
Chr01	24275000	0.241298	2.mid	
Chr01	24325000	0.258460	2.mid	
Chr01	24375000	0.245688	2.mid	
Chr01	24425000	0.230249	2.mid	
Chr01	24475000	0.210775	2.mid	
Chr01	24525000	0.284960	2.mid	
Chr01	24575000	0.168893	2.mid	
Chr01	24625000	0.357039	3.high	
Chr01	24675000	0.337850	3.high	
Chr01	24725000	0.320212	3.high	
Chr01	24775000	0.326114	3.high	
Chr01	24825000	0.127877	2.mid	
Chr01	24875000	0.124676	2.mid	
Chr01	24925000	0.200859	2.mid	
Chr01	24975000	0.276754	2.mid	
Chr01	25025000	0.208592	2.mid	
Chr01	25075000	0.201471	2.mid	
Chr01	25125000	0.131072	1.low	
Chr01	25175000	0.152086	1.low	
Chr01	25225000	0.176072	1.low	
Chr01	25275000	0.124507	1.low	
Chr01	25325000	0.179652	1.low	
Chr01	25375000	0.127229	1.low	
Chr01	25425000	0.196352	1.low	
Chr01	25475000	0.218774	1.low	
Chr01	25525000	0.094873	1.low	
Chr01	25575000	0.156641	1.low	
Chr01	25625000	0.128609	1.low	
Chr01	25675000	0.273203	2.mid	
Chr01	25725000	0.176448	2.mid	
Chr01	25775000	0.130475	2.mid	
Chr01	25825000	0.220073	2.mid	
Chr01	25875000	0.214750	2.mid	
Chr01	25925000	0.190057	2.mid	
Chr01	25975000	0.152483	2.mid	
Chr01	26025000	0.136124	2.mid	
Chr01	26075000	0.238405	2.mid	
Chr01	26125000	0.260413	2.mid	
Chr01	26175000	0.160056	2.mid	
Chr01	26225000	0.282409	2.mid	
Chr01	26275000	0.271475	2.mid	
Chr01	26325000	0.317896	2.mid	
Chr01	26375000	0.243061	2.mid	
Chr01	26425000	0.154234	1.low	
Chr01	26475000	0.117225	1.low	
Chr01	26525000	0.103879	1.low	
Chr01	26575000	0.202176	1.low	
Chr01	26625000	0.154278	1.low	
Chr01	26675000	0.155088	1.low	
Chr01	26725000	0.176242	1.low	
Chr01	26775000	0.126723	1.low	
Chr01	26825000	0.159823	1.low	
Chr01	26875000	0.207912	2.mid	
Chr01	26925000	0.198168	2.mid	
Chr01	26975000	0.168427	2.mid	
Chr01	27025000	0.330143	3.high	
Chr01	27075000	0.304899	3.high	
Chr01	27125000	0.322351	3.high	
Chr01	27175000	0.202105	2.mid	
Chr01	27225000	0.131761	2.mid	
Chr01	27275000	0.121539	2.mid	
Chr01	27325000	0.216012	2.mid	
Chr01	27375000	0.261849	2.mid	
Chr01	27425000	0.250275	2.mid	
Chr01	27475000	0.188872	2.mid	
Chr01	27525000	0.287023	2.mid	
Chr01	27575000	0.216218	2.mid	
Chr01	27625000	0.162783	2.mid	
Chr01	27675000	0.160658	2.mid	
Chr01	27725000	0.216426	2.mid	
Chr01	27775000	0.170397	2.mid	
Chr01	27825000	0.355610	3.high	
Chr01	27875000	0.178252	2.mid	
Chr01	27925000	0.296846	2.mid	
Chr01	27975000	0.219329	2.mid	
Chr01	28025000	0.168784	2.mid	
Chr01	28075000	0.130310	2.mid	
Chr01	28125000	0.210423	2.mid	
Chr01	28175000	0.183379	2.mid	
Chr01	28225000	0.185391	2.mid	
Chr01	28275000	0.150227	2.mid	
Chr01	28325000	0.171343	2.mid	
Chr01	28375000	0.196723	2.mid	
Chr01	28425000	0.362304	3.high	
Chr01	28475000	0.229770	3.high	
Chr01	28525000	0.405964	3.high	
Chr01	28575000	0.237047	2.mid	
Chr01	28625000	0.180372	2.mid	
Chr01	28675000	0.157154	2.mid	
Chr01	28725000	0.232972	2.mid	
Chr01	28775000	0.208184	2.mid	
Chr01	28825000	0.191944	2.mid	
Chr01	28875000	0.462250	3.high	
Chr01	28925000	0.394095	3.high	
Chr01	28975000	0.180963	3.high	
Chr01	29025000	0.295810	3.high	
Chr01	29075000	0.249686	3.high	
Chr01	29125000	0.296408	3.high	
Chr01	29175000	0.421164	3.high	
Chr01	29225000	0.080853	1.low	
Chr01	29275000	0.145533	1.low	
Chr01	29325000	0.098056	1.low	
Chr01	29375000	0.070573	1.low	
Chr01	29425000	0.140419	1.low	
Chr01	29475000	0.111921	1.low	
Chr01	29525000	0.181821	2.mid	
Chr01	29575000	0.336313	2.mid	
Chr01	29625000	0.252698	2.mid	
Chr01	29675000	0.203001	2.mid	
Chr01	29725000	0.196466	2.mid	
Chr01	29775000	0.136420	2.mid	
Chr01	29825000	0.202172	2.mid	
Chr01	29875000	0.183402	2.mid	
Chr01	29925000	0.152728	2.mid	
Chr01	29975000	0.189328	2.mid	
Chr01	30025000	0.298884	3.high	
Chr01	30075000	0.367378	3.high	
Chr01	30125000	0.201043	2.mid	
Chr01	30175000	0.189032	2.mid	
Chr01	30225000	0.221487	2.mid	
Chr01	30275000	0.194546	2.mid	
Chr01	30325000	0.302217	2.mid	
Chr01	30375000	0.204002	2.mid	
Chr01	30425000	0.205004	2.mid	
Chr01	30475000	0.273693	3.high	
Chr01	30525000	0.352913	3.high	
Chr01	30575000	0.161496	2.mid	
Chr01	30625000	0.167436	2.mid	
Chr01	30675000	0.129136	2.mid	
Chr01	30725000	0.162082	2.mid	
Chr01	30775000	0.221211	2.mid	
Chr01	30825000	0.127929	2.mid	
Chr01	30875000	0.383867	3.high	
Chr01	30925000	0.250597	3.high	
Chr01	30975000	0.118385	3.high	
Chr01	31025000	0.342797	3.high	
Chr01	31075000	0.503678	3.high	
Chr01	31125000	0.343118	3.high	
Chr01	31175000	0.316663	3.high	
Chr01	31225000	0.203411	2.mid	
Chr01	31275000	0.198340	2.mid	
Chr01	31325000	0.270144	2.mid	
Chr01	31375000	0.184039	2.mid	
Chr01	31425000	0.199819	2.mid	
Chr01	31475000	0.162971	2.mid	
Chr01	31525000	0.163758	2.mid	
Chr01	31575000	0.198218	2.mid	
Chr01	31625000	0.134367	2.mid	
Chr01	31675000	0.184186	2.mid	
Chr01	31725000	0.246586	2.mid	
Chr01	31775000	0.141742	2.mid	
Chr01	31825000	0.150339	2.mid	
Chr01	31875000	0.174976	2.mid	
Chr01	31925000	0.183247	2.mid	
Chr01	31975000	0.374836	3.high	
Chr01	32025000	0.136194	2.mid	
Chr01	32075000	0.165826	2.mid	
Chr01	32125000	0.130709	2.mid	
Chr01	32175000	0.217818	2.mid	
Chr01	32225000	0.184016	2.mid	
Chr01	32275000	0.183950	2.mid	
Chr01	32325000	0.248002	2.mid	
Chr01	32375000	0.402909	3.high	
Chr01	32425000	0.312194	3.high	
Chr01	32475000	0.220519	3.high	
Chr01	32525000	0.214243	3.high	
Chr01	32575000	0.272867	3.high	
Chr01	32625000	0.491482	3.high	
Chr01	32675000	0.293260	3.high	
Chr01	32725000	0.228269	2.mid	
Chr01	32775000	0.192427	2.mid	
Chr01	32825000	0.113362	2.mid	
Chr01	32875000	0.337863	3.high	
Chr01	32925000	0.384878	3.high	
Chr01	32975000	0.429585	3.high	
Chr01	33025000	0.511538	3.high	
Chr01	33075000	0.531690	3.high	
Chr01	33125000	0.459192	3.high	
Chr01	33175000	0.163165	3.high	
Chr01	33225000	0.269856	3.high	
Chr01	33275000	0.431124	3.high	
Chr01	33325000	0.235371	2.mid	
Chr01	33375000	0.133352	2.mid	
Chr01	33425000	0.236357	2.mid	
Chr01	33475000	0.310269	3.high	
Chr01	33525000	0.214750	3.high	
Chr01	33575000	0.320201	3.high	
Chr01	33625000	0.271030	3.high	
Chr01	33675000	0.385405	3.high	
Chr01	33725000	0.536015	3.high	
Chr01	33775000	0.296690	3.high	
Chr01	33825000	0.259809	3.high	
Chr01	33875000	0.408321	3.high	
Chr01	33925000	0.295722	3.high	
Chr01	33975000	0.277963	3.high	
Chr01	34025000	0.370498	3.high	
Chr01	34075000	0.100905	1.low	
Chr01	34125000	0.161094	1.low	
Chr01	34175000	0.138732	1.low	
Chr01	34225000	0.109423	1.low	
Chr01	34275000	0.162825	1.low	
Chr01	34325000	0.184521	2.mid	
Chr01	34375000	0.260479	2.mid	
Chr01	34425000	0.077172	1.low	
Chr01	34475000	0.063931	1.low	
Chr01	34525000	0.190134	2.mid	
Chr01	34575000	0.261684	2.mid	
Chr01	34625000	0.157084	2.mid	
Chr01	34675000	0.205839	2.mid	
Chr01	34725000	0.206124	2.mid	
Chr01	34775000	0.169351	1.low	
Chr01	34825000	0.112743	1.low	
Chr01	34875000	0.083057	1.low	
Chr01	34925000	0.168430	1.low	
Chr01	34975000	0.142316	2.mid	
Chr01	35025000	0.435996	3.high	
Chr01	35075000	0.198269	2.mid	
Chr01	35125000	0.211146	2.mid	
Chr01	35175000	0.108446	1.low	
Chr01	35225000	0.137004	1.low	
Chr01	35275000	0.111523	1.low	
Chr01	35325000	0.117967	1.low	
Chr01	35375000	0.215831	1.low	
Chr01	35425000	0.155655	1.low	
Chr01	35475000	0.190322	1.low	
Chr01	35525000	0.135141	1.low	
Chr01	35575000	0.170953	1.low	
Chr01	35625000	0.147003	1.low	
Chr01	35675000	0.086519	1.low	
Chr01	35725000	0.149887	1.low	
Chr01	35775000	0.159614	1.low	
Chr01	35825000	0.163563	1.low	
Chr01	35875000	0.239424	2.mid	
Chr01	35925000	0.131683	2.mid	
Chr01	35975000	0.222629	2.mid	
