region	chr	midPos	Nsites
(576934,599344)(1300000,1349154)(1300000,1350000)	Chr01	1325000	22412	0.145552
(599345,622518)(1350562,1399356)(1350000,1400000)	Chr01	1375000	23175	0.106227
(622519,646653)(1400376,1444143)(1400000,1450000)	Chr01	1425000	24136	0.075053
(646654,649702)(1453369,1499255)(1450000,1500000)	Chr01	1475000	3050	0.152032
(649703,662141)(1501435,1547474)(1500000,1550000)	Chr01	1525000	12440	0.135643
(662142,687426)(1552878,1599356)(1550000,1600000)	Chr01	1575000	25286	0.153445
(687427,707925)(1600386,1649930)(1600000,1650000)	Chr01	1625000	20500	0.149904
(707926,720109)(1650624,1698687)(1650000,1700000)	Chr01	1675000	12185	0.110122
(720110,745450)(1700128,1749655)(1700000,1750000)	Chr01	1725000	25342	0.091609
(745451,771175)(1750491,1799874)(1750000,1800000)	Chr01	1775000	25726	0.226038
(771176,797964)(1800319,1849999)(1800000,1850000)	Chr01	1825000	26790	0.204599
(797965,820667)(1850000,1898974)(1850000,1900000)	Chr01	1875000	22704	0.190363
(820668,848242)(1900267,1949738)(1900000,1950000)	Chr01	1925000	27576	0.174021
(848243,873539)(1950259,1999079)(1950000,2000000)	Chr01	1975000	25298	0.272196
(873540,886780)(2005305,2049657)(2000000,2050000)	Chr01	2025000	13242	0.195269
(886781,910753)(2050508,2099999)(2050000,2100000)	Chr01	2075000	23974	0.244669
(910754,935842)(2100000,2148373)(2100000,2150000)	Chr01	2125000	25090	0.217412
(935843,960433)(2152658,2199999)(2150000,2200000)	Chr01	2175000	24592	0.219248
(960434,992631)(2200000,2248336)(2200000,2250000)	Chr01	2225000	32199	0.262725
(992632,1016768)(2250362,2299999)(2250000,2300000)	Chr01	2275000	24138	0.222199
(1016769,1049030)(2300000,2349957)(2300000,2350000)	Chr01	2325000	32263	0.078262
(1049031,1064605)(2350006,2399502)(2350000,2400000)	Chr01	2375000	15576	0.244296
(1064606,1095061)(2400293,2449762)(2400000,2450000)	Chr01	2425000	30457	0.112569
(1095062,1127348)(2451009,2499500)(2450000,2500000)	Chr01	2475000	32288	0.143756
(1127349,1157326)(2500269,2549991)(2500000,2550000)	Chr01	2525000	29979	0.272381
(1157327,1181990)(2551056,2599757)(2550000,2600000)	Chr01	2575000	24665	0.263704
(1181991,1201566)(2609861,2649994)(2600000,2650000)	Chr01	2625000	19577	0.135418
(1201567,1232781)(2650030,2699999)(2650000,2700000)	Chr01	2675000	31216	0.136636
(1232782,1238449)(2700000,2726827)(2700000,2750000)	Chr01	2725000	5669	0.123693
(1238450,1239615)(2757734,2770262)(2750000,2800000)	Chr01	2775000	1167	0.153424
(1239616,1244085)(2816178,2849584)(2800000,2850000)	Chr01	2825000	4471	0.105133
(1244086,1253010)(2865268,2899710)(2850000,2900000)	Chr01	2875000	8926	0.147181
(1253011,1258158)(2902351,2949079)(2900000,2950000)	Chr01	2925000	5149	0.121260
(1258159,1264779)(2969504,2999520)(2950000,3000000)	Chr01	2975000	6622	0.187806
(1264780,1285135)(3001004,3049999)(3000000,3050000)	Chr01	3025000	20357	0.097970
(1285136,1310405)(3050000,3099999)(3050000,3100000)	Chr01	3075000	25271	0.227418
(1310406,1336018)(3100000,3149757)(3100000,3150000)	Chr01	3125000	25614	0.182871
(1336019,1370966)(3150400,3199866)(3150000,3200000)	Chr01	3175000	34949	0.100903
(1370967,1389145)(3203423,3248827)(3200000,3250000)	Chr01	3225000	18180	0.217429
(1389146,1394863)(3250140,3294388)(3250000,3300000)	Chr01	3275000	5719	0.197861
(1394864,1397614)(3303533,3343925)(3300000,3350000)	Chr01	3325000	2752	0.149152
(1397615,1401336)(3353158,3399999)(3350000,3400000)	Chr01	3375000	3723	0.267945
(1401337,1405639)(3400000,3447818)(3400000,3450000)	Chr01	3425000	4304	0.222571
(1405640,1432579)(3451842,3499999)(3450000,3500000)	Chr01	3475000	26941	0.271752
(1432580,1463948)(3500000,3549953)(3500000,3550000)	Chr01	3525000	31370	0.246412
(1463949,1484662)(3551176,3598577)(3550000,3600000)	Chr01	3575000	20715	0.193669
(1484663,1497902)(3608574,3642754)(3600000,3650000)	Chr01	3625000	13241	0.111909
(1497903,1519502)(3653788,3699999)(3650000,3700000)	Chr01	3675000	21601	0.161929
(1519503,1538850)(3700000,3749999)(3700000,3750000)	Chr01	3725000	19349	0.189019
(1538851,1558083)(3750000,3799999)(3750000,3800000)	Chr01	3775000	19234	0.193915
(1558084,1586161)(3800000,3849999)(3800000,3850000)	Chr01	3825000	28079	0.128062
(1586162,1621319)(3850000,3899999)(3850000,3900000)	Chr01	3875000	35159	0.149270
(1621320,1642246)(3900000,3943644)(3900000,3950000)	Chr01	3925000	20928	0.199053
(1642247,1665480)(3950993,3999999)(3950000,4000000)	Chr01	3975000	23235	0.169512
(1665481,1686346)(4000000,4049999)(4000000,4050000)	Chr01	4025000	20867	0.122870
(1686347,1708622)(4050000,4099998)(4050000,4100000)	Chr01	4075000	22277	0.209903
(1708623,1737695)(4100001,4148701)(4100000,4150000)	Chr01	4125000	29074	0.218245
(1737696,1760749)(4151373,4199999)(4150000,4200000)	Chr01	4175000	23055	0.272790
(1760750,1784252)(4200000,4249733)(4200000,4250000)	Chr01	4225000	23504	0.274264
(1784253,1795427)(4250237,4299564)(4250000,4300000)	Chr01	4275000	11176	0.175600
(1795428,1817012)(4300058,4349896)(4300000,4350000)	Chr01	4325000	21586	0.307920
(1817013,1839711)(4351157,4399999)(4350000,4400000)	Chr01	4375000	22700	0.297424
(1839712,1856715)(4400000,4449999)(4400000,4450000)	Chr01	4425000	17005	0.331608
(1856716,1872404)(4450000,4499999)(4450000,4500000)	Chr01	4475000	15690	0.279154
(1872405,1891853)(4500000,4546858)(4500000,4550000)	Chr01	4525000	19450	0.313598
(1891854,1906531)(4557605,4599660)(4550000,4600000)	Chr01	4575000	14679	0.229880
(1906532,1928333)(4600100,4649999)(4600000,4650000)	Chr01	4625000	21803	0.174413
(1928334,1949415)(4650000,4695382)(4650000,4700000)	Chr01	4675000	21083	0.146386
(1949416,1967929)(4701977,4749999)(4700000,4750000)	Chr01	4725000	18515	0.311969
(1967930,1992229)(4750000,4799999)(4750000,4800000)	Chr01	4775000	24301	0.290601
(1992230,2004027)(4800000,4849182)(4800000,4850000)	Chr01	4825000	11799	0.220533
(2004028,2026502)(4850486,4899525)(4850000,4900000)	Chr01	4875000	22476	0.195634
(2026503,2030313)(4901647,4949953)(4900000,4950000)	Chr01	4925000	3812	0.154388
(2030314,2031629)(4982466,4999623)(4950000,5000000)	Chr01	4975000	1317	0.149683
(2031630,2037678)(5000006,5049996)(5000000,5050000)	Chr01	5025000	6050	0.125460
(2037679,2047109)(5055062,5098774)(5050000,5100000)	Chr01	5075000	9432	0.102638
(2047110,2056258)(5102098,5149999)(5100000,5150000)	Chr01	5125000	9150	0.113195
(2056259,2069733)(5150000,5199131)(5150000,5200000)	Chr01	5175000	13476	0.116490
(2069734,2094274)(5201240,5249509)(5200000,5250000)	Chr01	5225000	24542	0.405048
(2094275,2121567)(5250041,5296218)(5250000,5300000)	Chr01	5275000	27294	0.376936
(2121568,2131561)(5300376,5349999)(5300000,5350000)	Chr01	5325000	9995	0.507351
(2131562,2146245)(5350000,5399446)(5350000,5400000)	Chr01	5375000	14685	0.437972
(2146246,2170564)(5401874,5449662)(5400000,5450000)	Chr01	5425000	24320	0.424167
(2170565,2194572)(5453208,5499945)(5450000,5500000)	Chr01	5475000	24009	0.226925
(2194573,2209493)(5500466,5549999)(5500000,5550000)	Chr01	5525000	14922	0.152429
(2209494,2219197)(5550000,5596559)(5550000,5600000)	Chr01	5575000	9705	0.187762
(2219198,2239367)(5602476,5649999)(5600000,5650000)	Chr01	5625000	20171	0.149557
(2239368,2259948)(5650000,5699762)(5650000,5700000)	Chr01	5675000	20582	0.250295
(2259949,2279518)(5700188,5749999)(5700000,5750000)	Chr01	5725000	19571	0.219226
(2279519,2309710)(5750000,5799423)(5750000,5800000)	Chr01	5775000	30193	0.192016
(2309711,2335371)(5800826,5845256)(5800000,5850000)	Chr01	5825000	25662	0.127127
(2335372,2357194)(5854184,5898826)(5850000,5900000)	Chr01	5875000	21824	0.215976
(2357195,2381826)(5900561,5949952)(5900000,5950000)	Chr01	5925000	24633	0.180885
(2381827,2409282)(5951865,5999999)(5950000,6000000)	Chr01	5975000	27457	0.149013
(2409283,2436743)(6000000,6049510)(6000000,6050000)	Chr01	6025000	27462	0.105408
(2436744,2450447)(6051114,6096776)(6050000,6100000)	Chr01	6075000	13705	0.176033
(2450448,2461377)(6100336,6149163)(6100000,6150000)	Chr01	6125000	10931	0.137560
(2461378,2471047)(6150074,6199521)(6150000,6200000)	Chr01	6175000	9671	0.290162
(2471048,2500450)(6200564,6249999)(6200000,6250000)	Chr01	6225000	29404	0.095130
(2500451,2527209)(6250000,6299989)(6250000,6300000)	Chr01	6275000	26760	0.178795
(2527210,2542181)(6300241,6344673)(6300000,6350000)	Chr01	6325000	14973	0.164545
(2542182,2562500)(6350388,6399705)(6350000,6400000)	Chr01	6375000	20320	0.255861
(2562501,2586055)(6404692,6449999)(6400000,6450000)	Chr01	6425000	23556	0.318597
(2586056,2614884)(6450000,6499999)(6450000,6500000)	Chr01	6475000	28830	0.243026
(2614885,2636076)(6500000,6548016)(6500000,6550000)	Chr01	6525000	21193	0.092659
(2636077,2652948)(6556022,6594292)(6550000,6600000)	Chr01	6575000	16873	0.109392
(2652949,2665997)(6602723,6649999)(6600000,6650000)	Chr01	6625000	13050	0.201580
(2665998,2675256)(6650000,6699280)(6650000,6700000)	Chr01	6675000	9260	0.195491
(2675257,2699087)(6701927,6749999)(6700000,6750000)	Chr01	6725000	23832	0.256788
(2699088,2723436)(6750000,6799937)(6750000,6800000)	Chr01	6775000	24350	0.315439
(2723437,2739804)(6800035,6847023)(6800000,6850000)	Chr01	6825000	16369	0.272427
(2739805,2758113)(6855517,6899998)(6850000,6900000)	Chr01	6875000	18310	0.456717
(2758114,2787376)(6900000,6949999)(6900000,6950000)	Chr01	6925000	29264	0.256770
(2787377,2813694)(6950010,6999276)(6950000,7000000)	Chr01	6975000	26319	0.234686
(2813695,2831726)(7005274,7049999)(7000000,7050000)	Chr01	7025000	18033	0.147608
(2831727,2865411)(7050000,7097423)(7050000,7100000)	Chr01	7075000	33686	0.242003
(2865412,2889754)(7102276,7149999)(7100000,7150000)	Chr01	7125000	24344	0.145207
(2889755,2909492)(7150000,7199999)(7150000,7200000)	Chr01	7175000	19739	0.128028
(2909493,2934975)(7200000,7248802)(7200000,7250000)	Chr01	7225000	25484	0.181193
(2934976,2947406)(7250148,7295903)(7250000,7300000)	Chr01	7275000	12432	0.303710
(2947407,2959583)(7300374,7341161)(7300000,7350000)	Chr01	7325000	12178	0.168031
(2959584,2978399)(7350738,7399997)(7350000,7400000)	Chr01	7375000	18817	0.393800
(2978400,3004660)(7400000,7449999)(7400000,7450000)	Chr01	7425000	26262	0.187794
(3004661,3022848)(7450000,7499999)(7450000,7500000)	Chr01	7475000	18189	0.307553
(3022849,3045920)(7500000,7549999)(7500000,7550000)	Chr01	7525000	23073	0.132252
(3045921,3063096)(7550000,7599999)(7550000,7600000)	Chr01	7575000	17177	0.276909
(3063097,3083617)(7600000,7649843)(7600000,7650000)	Chr01	7625000	20522	0.227028
(3083618,3107873)(7650030,7699999)(7650000,7700000)	Chr01	7675000	24257	0.285854
(3107874,3121817)(7700000,7745986)(7700000,7750000)	Chr01	7725000	13945	0.136343
(3121818,3140860)(7751808,7799999)(7750000,7800000)	Chr01	7775000	19044	0.136674
(3140861,3164365)(7800000,7847368)(7800000,7850000)	Chr01	7825000	23506	0.148884
(3164366,3178500)(7854113,7899999)(7850000,7900000)	Chr01	7875000	14136	0.168064
(3178501,3192830)(7900000,7949999)(7900000,7950000)	Chr01	7925000	14331	0.133348
(3192831,3214048)(7950000,7992795)(7950000,8000000)	Chr01	7975000	21219	0.097067
(3214049,3223261)(8002179,8046542)(8000000,8050000)	Chr01	8025000	9214	0.179624
(3223262,3241586)(8051785,8099943)(8050000,8100000)	Chr01	8075000	18326	0.086110
(3241587,3261542)(8100009,8149999)(8100000,8150000)	Chr01	8125000	19957	0.139314
(3261543,3280897)(8150000,8199998)(8150000,8200000)	Chr01	8175000	19356	0.127300
(3280898,3309615)(8200001,8249934)(8200000,8250000)	Chr01	8225000	28719	0.216751
(3309616,3326665)(8250028,8299211)(8250000,8300000)	Chr01	8275000	17051	0.201997
(3326666,3348323)(8300357,8349999)(8300000,8350000)	Chr01	8325000	21659	0.127781
(3348324,3375346)(8350000,8398139)(8350000,8400000)	Chr01	8375000	27024	0.171596
(3375347,3398590)(8402412,8449020)(8400000,8450000)	Chr01	8425000	23245	0.198374
(3398591,3414820)(8451246,8497492)(8450000,8500000)	Chr01	8475000	16231	0.348461
(3414821,3438277)(8500535,8548989)(8500000,8550000)	Chr01	8525000	23458	0.258671
(3438278,3452001)(8551559,8599999)(8550000,8600000)	Chr01	8575000	13725	0.163979
(3452002,3475595)(8600000,8645642)(8600000,8650000)	Chr01	8625000	23595	0.111408
(3475596,3504038)(8650353,8698318)(8650000,8700000)	Chr01	8675000	28444	0.171347
(3504039,3527528)(8700404,8749838)(8700000,8750000)	Chr01	8725000	23491	0.319557
(3527529,3549641)(8751642,8799999)(8750000,8800000)	Chr01	8775000	22114	0.148055
(3549642,3568982)(8800000,8849999)(8800000,8850000)	Chr01	8825000	19342	0.247418
(3568983,3594245)(8850000,8899119)(8850000,8900000)	Chr01	8875000	25264	0.241437
(3594246,3617124)(8900947,8949999)(8900000,8950000)	Chr01	8925000	22880	0.211706
(3617125,3636292)(8950000,8999086)(8950000,9000000)	Chr01	8975000	19169	0.231082
(3636293,3652136)(9003092,9044295)(9000000,9050000)	Chr01	9025000	15845	0.250783
(3652137,3670685)(9051119,9095352)(9050000,9100000)	Chr01	9075000	18550	0.301738
(3670686,3690277)(9101529,9149665)(9100000,9150000)	Chr01	9125000	19593	0.158005
(3690278,3715401)(9151823,9199999)(9150000,9200000)	Chr01	9175000	25125	0.218804
(3715402,3730108)(9200000,9243025)(9200000,9250000)	Chr01	9225000	14708	0.146068
(3730109,3750053)(9250076,9298507)(9250000,9300000)	Chr01	9275000	19946	0.135466
(3750054,3763542)(9306662,9349999)(9300000,9350000)	Chr01	9325000	13490	0.135653
(3763543,3787313)(9350000,9399973)(9350000,9400000)	Chr01	9375000	23772	0.103837
(3787314,3815001)(9400026,9449366)(9400000,9450000)	Chr01	9425000	27689	0.103730
(3815002,3829964)(9450023,9499999)(9450000,9500000)	Chr01	9475000	14964	0.109766
(3829965,3848194)(9500000,9549628)(9500000,9550000)	Chr01	9525000	18231	0.211851
(3848195,3864039)(9550224,9599999)(9550000,9600000)	Chr01	9575000	15846	0.214059
(3864040,3881581)(9600000,9649999)(9600000,9650000)	Chr01	9625000	17543	0.226664
(3881582,3898445)(9650000,9699999)(9650000,9700000)	Chr01	9675000	16865	0.389385
(3898446,3914415)(9700000,9749999)(9700000,9750000)	Chr01	9725000	15971	0.275986
(3914416,3929932)(9750000,9791177)(9750000,9800000)	Chr01	9775000	15518	0.139206
(3929933,3942832)(9802569,9846170)(9800000,9850000)	Chr01	9825000	12901	0.247882
(3942833,3958213)(9850119,9897760)(9850000,9900000)	Chr01	9875000	15382	0.207636
(3958214,3969411)(9900870,9949999)(9900000,9950000)	Chr01	9925000	11199	0.253706
(3969412,3996600)(9950000,9999999)(9950000,10000000)	Chr01	9975000	27190	0.256315
(3996601,4020899)(10000000,10049999)(10000000,10050000)	Chr01	10025000	24300	0.160669
(4020900,4038608)(10050000,10099999)(10050000,10100000)	Chr01	10075000	17710	0.269737
(4038609,4067440)(10100000,10149999)(10100000,10150000)	Chr01	10125000	28833	0.199573
(4067441,4090979)(10150000,10199999)(10150000,10200000)	Chr01	10175000	23540	0.181872
(4090980,4111531)(10200000,10246409)(10200000,10250000)	Chr01	10225000	20553	0.185835
(4111532,4130741)(10250822,10297557)(10250000,10300000)	Chr01	10275000	19211	0.247426
(4130742,4151296)(10303294,10349064)(10300000,10350000)	Chr01	10325000	20556	0.195637
(4151297,4170517)(10350190,10398723)(10350000,10400000)	Chr01	10375000	19222	0.214102
(4170518,4199388)(10402675,10448905)(10400000,10450000)	Chr01	10425000	28872	0.189278
(4199389,4227035)(10450234,10499884)(10450000,10500000)	Chr01	10475000	27648	0.142069
(4227036,4253376)(10500330,10549982)(10500000,10550000)	Chr01	10525000	26342	0.259969
(4253377,4269285)(10550110,10599999)(10550000,10600000)	Chr01	10575000	15910	0.166074
(4269286,4287623)(10600000,10649258)(10600000,10650000)	Chr01	10625000	18339	0.285193
(4287624,4312575)(10650131,10699999)(10650000,10700000)	Chr01	10675000	24953	0.328687
(4312576,4333511)(10700000,10749775)(10700000,10750000)	Chr01	10725000	20937	0.278495
(4333512,4355587)(10751417,10796182)(10750000,10800000)	Chr01	10775000	22077	0.179679
(4355588,4373955)(10810450,10849999)(10800000,10850000)	Chr01	10825000	18369	0.194093
(4373956,4401587)(10850000,10893639)(10850000,10900000)	Chr01	10875000	27633	0.182789
(4401588,4415733)(10906709,10949950)(10900000,10950000)	Chr01	10925000	14147	0.178405
(4415734,4438625)(10950102,10999999)(10950000,11000000)	Chr01	10975000	22893	0.147831
(4438626,4458687)(11000000,11049999)(11000000,11050000)	Chr01	11025000	20063	0.122746
(4458688,4479195)(11050000,11098765)(11050000,11100000)	Chr01	11075000	20509	0.143896
(4479196,4502104)(11103349,11149999)(11100000,11150000)	Chr01	11125000	22910	0.196339
(4502105,4527123)(11150000,11199999)(11150000,11200000)	Chr01	11175000	25020	0.257416
(4527124,4546091)(11200000,11249999)(11200000,11250000)	Chr01	11225000	18969	0.206082
(4546092,4566571)(11250000,11298145)(11250000,11300000)	Chr01	11275000	20481	0.312752
(4566572,4587900)(11300866,11349976)(11300000,11350000)	Chr01	11325000	21330	0.387808
(4587901,4602663)(11350089,11399945)(11350000,11400000)	Chr01	11375000	14764	0.285795
(4602664,4618897)(11404517,11449999)(11400000,11450000)	Chr01	11425000	16235	0.245177
(4618898,4632530)(11450000,11499809)(11450000,11500000)	Chr01	11475000	13634	0.320752
(4632531,4645535)(11500886,11548843)(11500000,11550000)	Chr01	11525000	13006	0.312017
(4645536,4646704)(11563623,11598665)(11550000,11600000)	Chr01	11575000	1170	0.298319
(4646705,4660328)(11606484,11649999)(11600000,11650000)	Chr01	11625000	13625	0.307864
(4660329,4672567)(11650000,11699999)(11650000,11700000)	Chr01	11675000	12240	0.319855
(4672568,4700006)(11700000,11749823)(11700000,11750000)	Chr01	11725000	27440	0.292202
(4700007,4716184)(11750305,11796630)(11750000,11800000)	Chr01	11775000	16179	0.313276
(4716185,4730661)(11804334,11849047)(11800000,11850000)	Chr01	11825000	14478	0.205044
(4730662,4754352)(11850898,11899999)(11850000,11900000)	Chr01	11875000	23692	0.189682
(4754353,4774998)(11900000,11949819)(11900000,11950000)	Chr01	11925000	20647	0.275700
(4774999,4800044)(11952584,11999999)(11950000,12000000)	Chr01	11975000	25047	0.251595
(4800045,4821181)(12000000,12049999)(12000000,12050000)	Chr01	12025000	21138	0.295080
(4821182,4850307)(12050000,12099904)(12050000,12100000)	Chr01	12075000	29127	0.534802
(4850308,4869496)(12100198,12149998)(12100000,12150000)	Chr01	12125000	19190	0.519304
(4869497,4881352)(12150000,12197270)(12150000,12200000)	Chr01	12175000	11857	0.402804
(4881353,4906097)(12201715,12249999)(12200000,12250000)	Chr01	12225000	24746	0.192294
(4906098,4932918)(12250000,12299874)(12250000,12300000)	Chr01	12275000	26822	0.258636
(4932919,4961889)(12300142,12348851)(12300000,12350000)	Chr01	12325000	28972	0.170826
(4961890,4974707)(12363488,12398230)(12350000,12400000)	Chr01	12375000	12819	0.234021
(4974708,4996139)(12400067,12449999)(12400000,12450000)	Chr01	12425000	21433	0.203413
(4996140,5031534)(12450000,12499998)(12450000,12500000)	Chr01	12475000	35396	0.190164
(5031535,5052530)(12500505,12549999)(12500000,12550000)	Chr01	12525000	20997	0.179346
(5052531,5067848)(12550000,12599985)(12550000,12600000)	Chr01	12575000	15319	0.223519
(5067849,5085847)(12600021,12649996)(12600000,12650000)	Chr01	12625000	18000	0.221162
(5085848,5100175)(12650001,12682354)(12650000,12700000)	Chr01	12675000	14329	0.194452
(5100176,5109847)(12700641,12749999)(12700000,12750000)	Chr01	12725000	9673	0.193177
(5109848,5137308)(12750000,12799366)(12750000,12800000)	Chr01	12775000	27462	0.196285
(5137309,5154362)(12802170,12849999)(12800000,12850000)	Chr01	12825000	17055	0.328490
(5154363,5168364)(12850000,12899378)(12850000,12900000)	Chr01	12875000	14003	0.253107
(5168365,5185606)(12900539,12949999)(12900000,12950000)	Chr01	12925000	17243	0.281857
(5185607,5207010)(12950000,12984345)(12950000,13000000)	Chr01	12975000	21405	0.171595
(5207011,5224004)(13001020,13049932)(13000000,13050000)	Chr01	13025000	16995	0.227214
(5224005,5245338)(13050063,13099999)(13050000,13100000)	Chr01	13075000	21335	0.118612
(5245339,5264872)(13100000,13149815)(13100000,13150000)	Chr01	13125000	19535	0.150998
(5264873,5279623)(13150115,13197488)(13150000,13200000)	Chr01	13175000	14752	0.264103
(5279624,5296410)(13204965,13248662)(13200000,13250000)	Chr01	13225000	16788	0.327845
(5296411,5314990)(13251214,13299999)(13250000,13300000)	Chr01	13275000	18581	0.351458
(5314991,5325088)(13300000,13349999)(13300000,13350000)	Chr01	13325000	10099	0.287413
(5325089,5344321)(13350000,13399999)(13350000,13400000)	Chr01	13375000	19234	0.285244
(5344322,5359968)(13400000,13449999)(13400000,13450000)	Chr01	13425000	15648	0.137008
(5359969,5383261)(13450000,13499999)(13450000,13500000)	Chr01	13475000	23294	0.155486
(5383262,5407107)(13500000,13549151)(13500000,13550000)	Chr01	13525000	23847	0.146328
(5407108,5415855)(13555669,13598728)(13550000,13600000)	Chr01	13575000	8749	0.269903
(5415856,5440745)(13601070,13649999)(13600000,13650000)	Chr01	13625000	24891	0.269489
(5440746,5455751)(13650000,13698154)(13650000,13700000)	Chr01	13675000	15007	0.215525
(5455752,5478391)(13700280,13747149)(13700000,13750000)	Chr01	13725000	22641	0.306123
(5478392,5482438)(13750050,13796068)(13750000,13800000)	Chr01	13775000	4048	0.161494
(5482439,5508361)(13801531,13844263)(13800000,13850000)	Chr01	13825000	25924	0.111548
(5508362,5520914)(13853024,13887414)(13850000,13900000)	Chr01	13875000	12554	0.116346
(5520915,5548980)(13901027,13949794)(13900000,13950000)	Chr01	13925000	28067	0.229476
(5548981,5569621)(13950532,13999318)(13950000,14000000)	Chr01	13975000	20642	0.142409
(5569622,5584401)(14003669,14049999)(14000000,14050000)	Chr01	14025000	14781	0.127259
(5584402,5595712)(14050000,14099863)(14050000,14100000)	Chr01	14075000	11312	0.115622
(5595713,5609084)(14100202,14149843)(14100000,14150000)	Chr01	14125000	13373	0.213598
(5609085,5626721)(14150468,14191924)(14150000,14200000)	Chr01	14175000	17638	0.130833
(5626722,5641166)(14201752,14241813)(14200000,14250000)	Chr01	14225000	14446	0.171406
(5641167,5644833)(14250950,14299786)(14250000,14300000)	Chr01	14275000	3668	0.131522
(5644834,5654037)(14300231,14349999)(14300000,14350000)	Chr01	14325000	9205	0.231321
(5654038,5673951)(14350000,14399999)(14350000,14400000)	Chr01	14375000	19915	0.306875
(5673952,5685921)(14400000,14449989)(14400000,14450000)	Chr01	14425000	11971	0.205632
(5685922,5703725)(14450240,14497260)(14450000,14500000)	Chr01	14475000	17805	0.142679
(5703726,5725410)(14502820,14548848)(14500000,14550000)	Chr01	14525000	21686	0.269925
(5725411,5742332)(14550213,14598562)(14550000,14600000)	Chr01	14575000	16923	0.205049
(5742333,5768142)(14602570,14643867)(14600000,14650000)	Chr01	14625000	25811	0.125540
(5768143,5781324)(14651769,14697625)(14650000,14700000)	Chr01	14675000	13183	0.159139
(5781325,5808189)(14700724,14749683)(14700000,14750000)	Chr01	14725000	26866	0.194691
(5808190,5830506)(14750036,14799999)(14750000,14800000)	Chr01	14775000	22318	0.233914
(5830507,5847074)(14800000,14848893)(14800000,14850000)	Chr01	14825000	16569	0.229902
(5847075,5861765)(14850594,14899999)(14850000,14900000)	Chr01	14875000	14692	0.159498
(5861766,5870851)(14900000,14939862)(14900000,14950000)	Chr01	14925000	9087	0.074955
(5870852,5875857)(14956586,14999988)(14950000,15000000)	Chr01	14975000	5007	0.106839
(5875858,5878257)(15001776,15013050)(15000000,15050000)	Chr01	15025000	2401	0.114161
(5878258,5885136)(15051409,15097592)(15050000,15100000)	Chr01	15075000	6880	0.213100
(5885137,5901762)(15101606,15146410)(15100000,15150000)	Chr01	15125000	16627	0.220881
(5901763,5917282)(15151027,15199999)(15150000,15200000)	Chr01	15175000	15521	0.186127
(5917283,5926140)(15200000,15249999)(15200000,15250000)	Chr01	15225000	8859	0.162962
(5926141,5930111)(15250000,15293416)(15250000,15300000)	Chr01	15275000	3972	0.155486
(5930112,5941915)(15300102,15329983)(15300000,15350000)	Chr01	15325000	11805	0.249304
(5941916,5958315)(15351811,15388485)(15350000,15400000)	Chr01	15375000	16401	0.125812
(5958316,5973976)(15403897,15449999)(15400000,15450000)	Chr01	15425000	15662	0.202540
(5973977,5983951)(15450000,15497919)(15450000,15500000)	Chr01	15475000	9976	0.154590
(5983952,6001324)(15509983,15545375)(15500000,15550000)	Chr01	15525000	17374	0.084281
(6001325,6019604)(15550406,15599430)(15550000,15600000)	Chr01	15575000	18281	0.135011
(6019605,6037147)(15600226,15649628)(15600000,15650000)	Chr01	15625000	17544	0.146874
(6037148,6039131)(15651451,15682318)(15650000,15700000)	Chr01	15675000	1985	0.146860
(6039132,6043866)(15741487,15749999)(15700000,15750000)	Chr01	15725000	4736	0.128195
