chr	pos	fst
Chr01	4825000	0.220533
Chr01	4875000	0.195634
Chr01	4925000	0.154388
Chr01	4975000	0.149683
Chr01	5025000	0.125460
Chr01	5075000	0.102638
Chr01	5125000	0.113195
Chr01	5175000	0.116490
Chr01	5225000	0.405048
Chr01	5275000	0.376936
Chr01	5325000	0.507351
Chr01	5375000	0.437972
Chr01	5425000	0.424167
Chr01	5475000	0.226925
Chr01	5525000	0.152429
Chr01	5575000	0.187762
Chr01	5625000	0.149557
Chr01	5675000	0.250295
Chr01	5725000	0.219226
Chr01	5775000	0.192016
Chr01	5825000	0.127127
Chr01	5875000	0.215976
Chr01	5925000	0.180885
Chr01	5975000	0.149013
Chr01	6025000	0.105408
Chr01	6075000	0.176033
Chr01	6125000	0.137560
Chr01	6175000	0.290162
Chr01	6225000	0.095130
Chr01	6275000	0.178795
Chr01	6325000	0.164545
Chr01	6375000	0.255861
Chr01	6425000	0.318597
Chr01	6475000	0.243026
Chr01	6525000	0.092659
Chr01	6575000	0.109392
Chr01	6625000	0.201580
Chr01	6675000	0.195491
Chr01	6725000	0.256788
Chr01	6775000	0.315439
Chr01	6825000	0.272427
Chr01	6875000	0.456717
Chr01	6925000	0.256770
Chr01	6975000	0.234686
Chr01	7025000	0.147608
Chr01	7075000	0.242003
Chr01	7125000	0.145207
Chr01	7175000	0.128028
Chr01	7225000	0.181193
Chr01	7275000	0.303710
Chr01	7325000	0.168031
Chr01	7375000	0.393800
Chr01	7425000	0.187794
Chr01	7475000	0.307553
Chr01	7525000	0.132252
Chr01	7575000	0.276909
Chr01	7625000	0.227028
Chr01	7675000	0.285854
Chr01	7725000	0.136343
Chr01	7775000	0.136674
Chr01	7825000	0.148884
Chr01	7875000	0.168064
Chr01	7925000	0.133348
Chr01	7975000	0.097067
Chr01	8025000	0.179624
Chr01	8075000	0.086110
Chr01	8125000	0.139314
Chr01	8175000	0.127300
Chr01	8225000	0.216751
Chr01	8275000	0.201997
Chr01	8325000	0.127781
Chr01	8375000	0.171596
Chr01	8425000	0.198374
Chr01	8475000	0.348461
Chr01	8525000	0.258671
Chr01	8575000	0.163979
Chr01	8625000	0.111408
Chr01	8675000	0.171347
Chr01	8725000	0.319557
Chr01	8775000	0.148055
Chr01	8825000	0.247418
Chr01	8875000	0.241437
Chr01	8925000	0.211706
Chr01	8975000	0.231082
Chr01	9025000	0.250783
Chr01	9075000	0.301738
Chr01	9125000	0.158005
Chr01	9175000	0.218804
Chr01	9225000	0.146068
Chr01	9275000	0.135466
Chr01	9325000	0.135653
Chr01	9375000	0.103837
Chr01	9425000	0.103730
Chr01	9475000	0.109766
Chr01	9525000	0.211851
Chr01	9575000	0.214059
Chr01	9625000	0.226664
Chr01	9675000	0.389385
Chr01	9725000	0.275986
Chr01	9775000	0.139206
Chr01	9825000	0.247882
Chr01	9875000	0.207636
Chr01	9925000	0.253706
Chr01	9975000	0.256315
Chr01	10025000	0.160669
Chr01	10075000	0.269737
Chr01	10125000	0.199573
Chr01	10175000	0.181872
Chr01	10225000	0.185835
Chr01	10275000	0.247426
Chr01	10325000	0.195637
Chr01	10375000	0.214102
Chr01	10425000	0.189278
Chr01	10475000	0.142069
Chr01	10525000	0.259969
Chr01	10575000	0.166074
Chr01	10625000	0.285193
Chr01	10675000	0.328687
Chr01	10725000	0.278495
Chr01	10775000	0.179679
Chr01	10825000	0.194093
Chr01	10875000	0.182789
Chr01	10925000	0.178405
Chr01	10975000	0.147831
Chr01	11025000	0.122746
Chr01	11075000	0.143896
Chr01	11125000	0.196339
Chr01	11175000	0.257416
Chr01	11225000	0.206082
Chr01	11275000	0.312752
Chr01	11325000	0.387808
Chr01	11375000	0.285795
Chr01	11425000	0.245177
Chr01	11475000	0.320752
Chr01	11525000	0.312017
Chr01	11575000	0.298319
Chr01	11625000	0.307864
Chr01	11675000	0.319855
Chr01	11725000	0.292202
Chr01	11775000	0.313276
Chr01	11825000	0.205044
Chr01	11875000	0.189682
Chr01	11925000	0.275700
Chr01	11975000	0.251595
Chr01	12025000	0.295080
Chr01	12075000	0.534802
Chr01	12125000	0.519304
Chr01	12175000	0.402804
Chr01	12225000	0.192294
Chr01	12275000	0.258636
Chr01	12325000	0.170826
Chr01	12375000	0.234021
Chr01	12425000	0.203413
Chr01	12475000	0.190164
Chr01	12525000	0.179346
Chr01	12575000	0.223519
Chr01	12625000	0.221162
Chr01	12675000	0.194452
Chr01	12725000	0.193177
Chr01	12775000	0.196285
Chr01	12825000	0.328490
Chr01	12875000	0.253107
Chr01	12925000	0.281857
Chr01	12975000	0.171595
Chr01	13025000	0.227214
Chr01	13075000	0.118612
Chr01	13125000	0.150998
Chr01	13175000	0.264103
Chr01	13225000	0.327845
Chr01	13275000	0.351458
Chr01	13325000	0.287413
Chr01	13375000	0.285244
Chr01	13425000	0.137008
Chr01	13475000	0.155486
Chr01	13525000	0.146328
Chr01	13575000	0.269903
Chr01	13625000	0.269489
Chr01	13675000	0.215525
Chr01	13725000	0.306123
Chr01	13775000	0.161494
Chr01	13825000	0.111548
Chr01	13875000	0.116346
Chr01	13925000	0.229476
Chr01	13975000	0.142409
Chr01	14025000	0.127259
Chr01	14075000	0.115622
Chr01	14125000	0.213598
Chr01	14175000	0.130833
Chr01	14225000	0.171406
Chr01	14275000	0.131522
Chr01	14325000	0.231321
Chr01	14375000	0.306875
Chr01	14425000	0.205632
Chr01	14475000	0.142679
Chr01	14525000	0.269925
Chr01	14575000	0.205049
Chr01	14625000	0.125540
Chr01	14675000	0.159139
Chr01	14725000	0.194691
Chr01	14775000	0.233914
Chr01	14825000	0.229902
Chr01	14875000	0.159498
Chr01	14925000	0.074955
Chr01	14975000	0.106839
Chr01	15025000	0.114161
Chr01	15075000	0.213100
Chr01	15125000	0.220881
Chr01	15175000	0.186127
Chr01	15225000	0.162962
Chr01	15275000	0.155486
Chr01	15325000	0.249304
Chr01	15375000	0.125812
Chr01	15425000	0.202540
Chr01	15475000	0.154590
Chr01	15525000	0.084281
Chr01	15575000	0.135011
Chr01	15625000	0.146874
Chr01	15675000	0.146860
Chr01	15725000	0.128195
Chr01	15775000	0.098136
Chr01	15825000	0.168719
Chr01	15875000	0.132549
Chr01	15925000	0.095029
Chr01	15975000	0.258147
Chr01	16025000	0.167707
Chr01	16075000	0.239226
Chr01	16125000	0.135235
Chr01	16175000	0.282300
Chr01	16225000	0.503381
Chr01	16275000	0.195125
Chr01	16325000	0.204008
Chr01	16375000	0.201002
Chr01	16425000	0.228319
Chr01	16475000	0.290791
Chr01	16525000	0.334949
Chr01	16575000	0.198789
Chr01	16625000	0.093912
Chr01	16675000	0.160576
Chr01	16725000	0.126097
Chr01	16775000	0.202149
Chr01	16825000	0.204319
Chr01	16875000	0.071043
Chr01	16925000	0.151427
Chr01	16975000	0.141955
Chr01	17025000	0.141991
Chr01	17075000	0.164830
Chr01	17125000	0.173474
Chr01	17175000	0.224562
Chr01	17225000	0.178881
Chr01	17275000	0.164624
Chr01	17325000	0.372822
Chr01	17375000	0.220668
Chr01	17425000	0.220615
Chr01	17475000	0.255921
Chr01	17525000	0.319212
Chr01	17575000	0.146000
Chr01	17625000	0.173484
Chr01	17675000	0.129706
Chr01	17725000	0.182708
Chr01	17775000	0.113866
Chr01	17825000	0.118613
Chr01	17875000	0.149905
Chr01	17925000	0.268323
Chr01	17975000	0.189134
Chr01	18075000	0.132016
Chr01	18125000	0.065042
Chr01	18175000	0.132768
Chr01	18225000	0.178545
Chr01	18275000	0.076344
Chr01	18325000	0.210966
Chr01	18375000	0.118838
Chr01	18425000	0.136656
Chr01	18475000	0.109831
Chr01	18525000	0.125445
Chr01	18575000	0.203084
Chr01	18625000	0.113971
Chr01	18675000	0.187227
Chr01	18725000	0.123084
Chr01	18775000	0.138129
Chr01	18875000	0.125281
Chr01	18925000	0.221434
Chr01	18975000	0.163572
Chr01	19025000	0.297523
Chr01	19075000	0.323926
Chr01	19125000	0.326835
Chr01	19175000	0.194508
Chr01	19225000	0.199548
Chr01	19275000	0.114899
Chr01	19375000	0.221211
Chr01	19475000	0.222301
Chr01	19525000	0.193790
Chr01	19575000	0.131107
Chr01	19625000	0.187668
Chr01	19675000	0.077060
Chr01	19725000	0.162358
Chr01	19775000	0.206307
Chr01	19825000	0.189319
Chr01	19875000	0.039399
Chr01	19925000	0.160382
Chr01	19975000	0.168192
Chr01	20025000	0.262019
Chr01	20075000	0.167665
Chr01	20125000	0.080997
Chr01	20175000	0.145318
Chr01	20225000	0.180514
Chr01	20275000	0.134693
Chr01	20325000	0.231654
Chr01	20375000	0.463064
Chr01	20425000	0.437804
Chr01	20475000	0.267393
Chr01	20525000	0.331348
Chr01	20575000	0.260246
Chr01	20625000	0.250755
Chr01	20675000	0.363231
Chr01	20725000	0.300095
Chr01	20775000	0.213399
Chr01	20825000	0.227782
Chr01	20875000	0.241223
Chr01	20925000	0.126736
Chr01	20975000	0.130940
Chr01	21025000	0.170276
Chr01	21075000	0.313036
Chr01	21125000	0.191853
Chr01	21175000	0.242304
Chr01	21225000	0.174312
Chr01	21275000	0.213880
Chr01	21325000	0.100400
Chr01	21375000	0.182930
Chr01	21425000	0.246348
Chr01	21475000	0.174114
Chr01	21525000	0.205965
Chr01	21575000	0.176097
Chr01	21625000	0.135698
Chr01	21675000	0.209816
Chr01	21725000	0.193342
Chr01	21775000	0.220764
Chr01	21825000	0.132952
Chr01	21875000	0.346944
Chr01	21925000	0.453308
Chr01	21975000	0.496013
Chr01	22025000	0.294361
Chr01	22075000	0.252693
Chr01	22125000	0.281467
Chr01	22175000	0.187395
Chr01	22225000	0.172730
Chr01	22275000	0.246618
Chr01	22325000	0.210295
Chr01	22375000	0.343624
Chr01	22425000	0.328528
Chr01	22475000	0.326260
Chr01	22525000	0.263534
Chr01	22575000	0.152097
Chr01	22625000	0.130473
Chr01	22675000	0.092150
Chr01	22725000	0.163399
Chr01	22775000	0.129453
Chr01	22825000	0.110575
Chr01	22875000	0.103254
Chr01	22925000	0.229698
Chr01	22975000	0.069875
Chr01	23025000	0.160047
Chr01	23075000	0.168119
Chr01	23125000	0.120862
Chr01	23175000	0.063649
Chr01	23225000	0.116832
Chr01	23275000	0.174941
Chr01	23325000	0.136417
Chr01	23375000	0.123855
Chr01	23425000	0.183028
Chr01	23475000	0.253431
Chr01	23525000	0.290493
Chr01	23575000	0.259534
Chr01	23625000	0.342523
Chr01	23675000	0.263144
Chr01	23725000	0.185280
Chr01	23775000	0.238061
Chr01	23825000	0.332084
Chr01	23875000	0.421386
Chr01	23925000	0.330671
Chr01	23975000	0.255171
Chr01	24025000	0.126658
Chr01	24075000	0.234988
Chr01	24125000	0.210022
Chr01	24175000	0.285427
Chr01	24225000	0.309083
Chr01	24275000	0.241298
Chr01	24325000	0.258460
Chr01	24375000	0.245688
Chr01	24425000	0.230249
Chr01	24475000	0.210775
Chr01	24525000	0.284960
Chr01	24575000	0.168893
Chr01	24625000	0.357039
Chr01	24675000	0.337850
Chr01	24725000	0.320212
Chr01	24775000	0.326114
Chr01	24825000	0.127877
Chr01	24875000	0.124676
Chr01	24925000	0.200859
Chr01	24975000	0.276754
Chr01	25025000	0.208592
Chr01	25075000	0.201471
Chr01	25125000	0.131072
Chr01	25175000	0.152086
Chr01	25225000	0.176072
Chr01	25275000	0.124507
Chr01	25325000	0.179652
Chr01	25375000	0.127229
Chr01	25425000	0.196352
Chr01	25475000	0.218774
Chr01	25525000	0.094873
Chr01	25575000	0.156641
Chr01	25625000	0.128609
Chr01	25675000	0.273203
Chr01	25725000	0.176448
Chr01	25775000	0.130475
Chr01	25825000	0.220073
Chr01	25875000	0.214750
Chr01	25925000	0.190057
Chr01	25975000	0.152483
Chr01	26025000	0.136124
Chr01	26075000	0.238405
Chr01	26125000	0.260413
Chr01	26175000	0.160056
Chr01	26225000	0.282409
Chr01	26275000	0.271475
Chr01	26325000	0.317896
Chr01	26375000	0.243061
Chr01	26425000	0.154234
Chr01	26475000	0.117225
Chr01	26525000	0.103879
Chr01	26575000	0.202176
Chr01	26625000	0.154278
Chr01	26675000	0.155088
Chr01	26725000	0.176242
Chr01	26775000	0.126723
Chr01	26825000	0.159823
Chr01	26875000	0.207912
Chr01	26925000	0.198168
Chr01	26975000	0.168427
Chr01	27025000	0.330143
Chr01	27075000	0.304899
Chr01	27125000	0.322351
Chr01	27175000	0.202105
Chr01	27225000	0.131761
Chr01	27275000	0.121539
Chr01	27325000	0.216012
Chr01	27375000	0.261849
Chr01	27425000	0.250275
Chr01	27475000	0.188872
Chr01	27525000	0.287023
Chr01	27575000	0.216218
Chr01	27625000	0.162783
Chr01	27675000	0.160658
Chr01	27725000	0.216426
Chr01	27775000	0.170397
Chr01	27825000	0.355610
Chr01	27875000	0.178252
Chr01	27925000	0.296846
Chr01	27975000	0.219329
Chr01	28025000	0.168784
Chr01	28075000	0.130310
Chr01	28125000	0.210423
Chr01	28175000	0.183379
Chr01	28225000	0.185391
Chr01	28275000	0.150227
Chr01	28325000	0.171343
Chr01	28375000	0.196723
Chr01	28425000	0.362304
Chr01	28475000	0.229770
Chr01	28525000	0.405964
Chr01	28575000	0.237047
Chr01	28625000	0.180372
Chr01	28675000	0.157154
Chr01	28725000	0.232972
Chr01	28775000	0.208184
Chr01	28825000	0.191944
Chr01	28875000	0.462250
Chr01	28925000	0.394095
Chr01	28975000	0.180963
Chr01	29025000	0.295810
Chr01	29075000	0.249686
Chr01	29125000	0.296408
Chr01	29175000	0.421164
Chr01	29225000	0.080853
Chr01	29275000	0.145533
Chr01	29325000	0.098056
Chr01	29375000	0.070573
Chr01	29425000	0.140419
Chr01	29475000	0.111921
Chr01	29525000	0.181821
Chr01	29575000	0.336313
Chr01	29625000	0.252698
Chr01	29675000	0.203001
Chr01	29725000	0.196466
Chr01	29775000	0.136420
Chr01	29825000	0.202172
Chr01	29875000	0.183402
Chr01	29925000	0.152728
Chr01	29975000	0.189328
Chr01	30025000	0.298884
Chr01	30075000	0.367378
Chr01	30125000	0.201043
Chr01	30175000	0.189032
Chr01	30225000	0.221487
Chr01	30275000	0.194546
Chr01	30325000	0.302217
Chr01	30375000	0.204002
Chr01	30425000	0.205004
Chr01	30475000	0.273693
Chr01	30525000	0.352913
Chr01	30575000	0.161496
Chr01	30625000	0.167436
Chr01	30675000	0.129136
Chr01	30725000	0.162082
Chr01	30775000	0.221211
Chr01	30825000	0.127929
Chr01	30875000	0.383867
Chr01	30925000	0.250597
Chr01	30975000	0.118385
Chr01	31025000	0.342797
Chr01	31075000	0.503678
Chr01	31125000	0.343118
Chr01	31175000	0.316663
Chr01	31225000	0.203411
Chr01	31275000	0.198340
Chr01	31325000	0.270144
Chr01	31375000	0.184039
Chr01	31425000	0.199819
Chr01	31475000	0.162971
Chr01	31525000	0.163758
Chr01	31575000	0.198218
Chr01	31625000	0.134367
Chr01	31675000	0.184186
Chr01	31725000	0.246586
Chr01	31775000	0.141742
Chr01	31825000	0.150339
Chr01	31875000	0.174976
Chr01	31925000	0.183247
Chr01	31975000	0.374836
Chr01	32025000	0.136194
Chr01	32075000	0.165826
Chr01	32125000	0.130709
Chr01	32175000	0.217818
Chr01	32225000	0.184016
Chr01	32275000	0.183950
Chr01	32325000	0.248002
Chr01	32375000	0.402909
Chr01	32425000	0.312194
Chr01	32475000	0.220519
Chr01	32525000	0.214243
Chr01	32575000	0.272867
Chr01	32625000	0.491482
Chr01	32675000	0.293260
Chr01	32725000	0.228269
Chr01	32775000	0.192427
Chr01	32825000	0.113362
Chr01	32875000	0.337863
Chr01	32925000	0.384878
Chr01	32975000	0.429585
Chr01	33025000	0.511538
Chr01	33075000	0.531690
Chr01	33125000	0.459192
Chr01	33175000	0.163165
Chr01	33225000	0.269856
Chr01	33275000	0.431124
Chr01	33325000	0.235371
Chr01	33375000	0.133352
Chr01	33425000	0.236357
Chr01	33475000	0.310269
Chr01	33525000	0.214750
Chr01	33575000	0.320201
Chr01	33625000	0.271030
Chr01	33675000	0.385405
Chr01	33725000	0.536015
Chr01	33775000	0.296690
Chr01	33825000	0.259809
Chr01	33875000	0.408321
Chr01	33925000	0.295722
Chr01	33975000	0.277963
Chr01	34025000	0.370498
Chr01	34075000	0.100905
Chr01	34125000	0.161094
Chr01	34175000	0.138732
Chr01	34225000	0.109423
Chr01	34275000	0.162825
Chr01	34325000	0.184521
Chr01	34375000	0.260479
Chr01	34425000	0.077172
Chr01	34475000	0.063931
Chr01	34525000	0.190134
Chr01	34575000	0.261684
Chr01	34625000	0.157084
Chr01	34675000	0.205839
Chr01	34725000	0.206124
Chr01	34775000	0.169351
Chr01	34825000	0.112743
Chr01	34875000	0.083057
Chr01	34925000	0.168430
Chr01	34975000	0.142316
Chr01	35025000	0.435996
Chr01	35075000	0.198269
Chr01	35125000	0.211146
Chr01	35175000	0.108446
Chr01	35225000	0.137004
Chr01	35275000	0.111523
Chr01	35325000	0.117967
Chr01	35375000	0.215831
Chr01	35425000	0.155655
Chr01	35475000	0.190322
Chr01	35525000	0.135141
Chr01	35575000	0.170953
Chr01	35625000	0.147003
Chr01	35675000	0.086519
Chr01	35725000	0.149887
Chr01	35775000	0.159614
Chr01	35825000	0.163563
Chr01	35875000	0.239424
Chr01	35925000	0.131683
Chr01	35975000	0.222629
Chr01	36025000	0.154723
Chr01	36075000	0.222839
Chr01	36125000	0.150222
Chr01	36175000	0.164426
Chr01	36225000	0.274522
Chr01	36275000	0.212669
Chr01	36325000	0.392419
Chr01	36375000	0.140766
Chr01	36425000	0.185779
Chr01	36475000	0.183891
Chr01	36525000	0.289411
Chr01	36575000	0.237752
Chr01	36625000	0.338210
Chr01	36675000	0.243160
Chr01	36725000	0.319915
Chr01	36775000	0.136269
Chr01	36825000	0.181809
Chr01	36875000	0.118774
Chr01	36925000	0.182101
Chr01	36975000	0.111430
Chr01	37025000	0.209980
Chr01	37075000	0.099745
Chr01	37125000	0.141485
Chr01	37175000	0.062128
Chr01	37225000	0.134694
Chr01	37275000	0.186865
Chr01	37325000	0.145428
Chr01	37375000	0.074773
Chr01	37425000	0.146958
Chr01	37475000	0.057509
Chr01	37525000	0.208030
Chr01	37575000	0.093471
Chr01	37625000	0.112058
Chr01	37675000	0.226802
Chr01	37725000	0.093787
Chr01	37775000	0.196384
Chr01	37825000	0.140538
Chr01	37875000	0.153091
Chr01	37925000	0.108961
Chr01	37975000	0.151069
Chr01	38025000	0.207606
Chr01	38075000	0.263248
Chr01	38125000	0.137488
Chr01	38175000	0.188265
Chr01	38225000	0.310907
Chr01	38275000	0.210977
Chr01	38325000	0.183794
Chr01	38375000	0.156074
Chr01	38425000	0.100873
Chr01	38475000	0.126804
Chr01	38525000	0.206951
Chr01	38575000	0.217124
Chr01	38625000	0.238958
Chr01	38675000	0.148721
Chr01	38725000	0.170044
Chr01	38775000	0.079251
Chr01	38825000	0.085704
Chr01	38875000	0.112940
Chr01	38925000	0.111772
Chr01	38975000	0.151233
Chr01	39025000	0.202911
Chr01	39075000	0.220697
Chr01	39125000	0.179470
Chr01	39175000	0.179099
Chr01	39225000	0.302898
Chr01	39275000	0.397295
Chr01	39325000	0.301024
Chr01	39375000	0.346772
Chr01	39425000	0.274706
Chr01	39475000	0.374591
Chr01	39525000	0.163273
Chr01	39575000	0.138569
Chr01	39625000	0.148066
Chr01	39675000	0.095101
Chr01	39725000	0.143756
Chr01	39775000	0.155477
Chr01	39825000	0.160884
Chr01	39875000	0.100773
Chr01	39925000	0.175173
Chr01	39975000	0.186777
Chr01	40025000	0.171992
Chr01	40075000	0.244192
Chr01	40125000	0.121127
Chr01	40175000	0.149798
Chr01	40225000	0.204210
Chr01	40275000	0.185465
Chr01	40325000	0.264144
Chr01	40375000	0.420490
Chr01	40425000	0.167844
Chr01	40475000	0.144377
Chr01	40525000	0.186385
Chr01	40575000	0.145687
Chr01	40625000	0.182198
Chr01	40675000	0.274597
Chr01	40725000	0.370160
Chr01	40775000	0.219497
Chr01	40825000	0.183816
Chr01	40875000	0.350917
Chr01	40925000	0.217237
Chr01	40975000	0.147599
Chr01	41025000	0.196546
Chr01	41075000	0.138931
Chr01	41125000	0.136211
Chr01	41175000	0.246018
Chr01	41225000	0.298782
Chr01	41275000	0.350237
Chr01	41325000	0.355493
Chr01	41375000	0.312437
Chr01	41425000	0.443952
Chr01	41475000	0.123084
Chr01	41525000	0.216553
Chr01	41575000	0.090760
Chr01	41625000	0.096650
Chr01	41675000	0.207238
Chr01	41725000	0.156844
Chr01	41775000	0.200354
Chr01	41825000	0.166465
Chr01	41875000	0.167618
Chr01	41925000	0.287253
Chr01	41975000	0.146886
Chr01	42025000	0.154854
Chr01	42075000	0.289227
Chr01	42125000	0.109428
Chr01	42175000	0.184074
Chr01	42225000	0.171601
Chr01	42275000	0.161159
Chr01	42325000	0.284400
Chr01	42375000	0.352218
Chr01	42425000	0.352107
Chr01	42475000	0.223522
Chr01	42525000	0.124459
Chr01	42575000	0.189859
Chr01	42625000	0.143833
Chr01	42675000	0.151739
Chr01	42725000	0.112638
Chr01	42775000	0.141333
Chr01	42825000	0.262476
Chr01	42875000	0.151680
Chr01	42925000	0.144177
Chr01	42975000	0.143612
Chr01	43025000	0.228909
Chr01	43075000	0.184666
Chr01	43125000	0.271782
Chr01	43175000	0.081067
Chr01	43225000	0.200149
Chr01	43275000	0.093184
Chr01	43325000	0.172506
Chr01	43375000	0.219178
Chr01	43425000	0.217723
Chr01	43475000	0.150861
Chr01	43525000	0.073768
Chr01	43575000	0.112535
Chr01	43625000	0.075725
Chr01	43675000	0.130858
Chr01	43725000	0.189616
Chr01	43775000	0.171518
Chr01	43825000	0.159632
Chr01	43875000	0.105553
Chr01	43925000	0.143166
Chr01	43975000	0.172409
Chr01	44025000	0.121001
Chr01	44075000	0.060338
Chr01	44125000	0.228064
Chr01	44175000	0.341489
Chr01	44225000	0.185107
Chr01	44275000	0.159293
Chr01	44325000	0.190262
Chr01	44375000	0.146675
Chr01	44425000	0.147322
Chr01	44475000	0.124601
Chr01	44525000	0.139943
Chr01	44575000	0.151956
Chr01	44625000	0.083693
Chr01	44675000	0.089997
Chr01	44725000	0.204631
Chr01	44775000	0.111037
Chr01	44825000	0.150913
Chr01	44875000	0.166913
Chr01	44925000	0.159512
Chr01	44975000	0.128914
Chr01	45025000	0.221318
Chr01	45075000	0.222585
Chr01	45125000	0.173244
Chr01	45175000	0.174525
Chr01	45225000	0.142084
Chr01	45275000	0.107538
Chr01	45325000	0.134539
Chr01	45375000	0.181286
Chr01	45425000	0.152197
Chr01	45475000	0.274445
Chr01	45525000	0.204601
Chr01	45575000	0.177446
Chr01	45625000	0.154692
Chr01	45675000	0.143414
Chr01	45725000	0.230753
Chr01	45775000	0.213614
Chr01	45825000	0.096078
Chr01	45875000	0.213840
Chr01	45925000	0.189452
Chr01	45975000	0.246237
Chr01	46025000	0.164240
Chr01	46075000	0.152485
Chr01	46125000	0.125768
Chr01	46175000	0.193732
Chr01	46225000	0.168150
Chr01	46275000	0.171983
Chr01	46325000	0.166681
Chr01	46375000	0.161257
Chr01	46425000	0.152643
Chr01	46475000	0.154839
Chr01	46525000	0.167812
Chr01	46575000	0.076807
Chr01	46625000	0.284347
Chr01	46675000	0.161724
Chr01	46725000	0.161875
Chr01	46775000	0.113635
Chr01	46825000	0.241558
Chr01	46875000	0.130102
Chr01	46925000	0.191059
Chr01	46975000	0.173718
Chr01	47025000	0.148279
Chr01	47075000	0.112430
Chr01	47125000	0.122317
Chr01	47175000	0.119406
Chr01	47225000	0.105855
Chr01	47275000	0.068513
Chr01	47325000	0.091339
Chr01	47375000	0.150750
Chr01	47425000	0.131252
Chr01	47475000	0.095767
Chr01	47525000	0.135730
Chr01	47575000	0.169731
Chr01	47625000	0.174505
Chr01	47675000	0.127383
Chr01	47725000	0.132401
Chr01	47775000	0.142315
Chr01	47825000	0.141188
Chr01	47875000	0.154222
Chr01	47925000	0.134444
Chr01	47975000	0.129877
Chr01	48025000	0.232987
Chr01	48075000	0.134224
Chr01	48125000	0.210505
Chr01	48175000	0.108557
Chr01	48225000	0.087293
Chr01	48275000	0.205232
Chr01	48325000	0.249170
Chr01	48375000	0.163165
Chr01	48425000	0.136104
Chr01	48475000	0.126326
Chr01	48525000	0.078878
Chr01	48575000	0.114741
Chr01	48675000	0.129182
Chr01	48725000	0.171895
Chr01	48775000	0.238972
Chr01	48825000	0.162746
Chr01	48875000	0.177275
Chr01	48925000	0.155238
Chr01	48975000	0.204881
Chr01	49025000	0.180581
Chr01	49075000	0.128809
Chr01	49125000	0.178805
Chr01	49175000	0.112599
Chr01	49225000	0.124117
Chr01	49275000	0.095894
Chr01	49325000	0.089474
Chr01	49375000	0.155945
Chr01	49425000	0.208451
Chr01	49475000	0.145661
Chr01	49525000	0.135161
Chr01	49575000	0.134985
Chr01	49625000	0.126240
Chr01	49675000	0.084725
Chr01	49725000	0.158618
Chr01	49775000	0.146782
Chr01	49825000	0.123284
Chr01	49875000	0.150727
Chr01	49925000	0.092438
Chr01	49975000	0.114731
Chr01	50025000	0.071619
Chr01	50075000	0.076982
Chr01	50125000	0.124851
Chr01	50175000	0.115759
Chr01	50225000	0.116154
Chr01	50275000	0.145247
