AAAS 	NM_015665
BRMS1 	NM_015399
BRPF1 	NM_004634
BRPF3 	NM_015695
BSDC1 	NM_018045
BSG 	NM_001728
BTBD2 	NM_017797
BTD 	NM_000060
BTF3 	NM_001207
BUB3 	NM_004725
BZW1 	NM_014670
C10orf12 	NM_015652
C10orf2 	NM_021830
C10orf76 	NM_024541
C10orf88 	NM_024942
C11orf1 	NM_022761
C11orf24 	NM_022338
C11orf31 	NM_170746
C11orf57 	NM_018195
C11orf58 	NM_014267
C11orf73 	NM_016401
C11orf83 	NM_001085372
C12orf10 	NM_021640
C12orf23 	NM_152261
C12orf29 	NM_001009894
C12orf44 	NM_021934
C12orf45 	NM_152318
C12orf5 	NM_020375
C12orf52 	NM_032848
C12orf57 	NM_138425
C12orf65 	NM_152269
C12orf66 	NM_152440
C14orf1 	NM_007176
C14orf119 	NM_017924
C14orf142 	NM_032490
C14orf166 	NM_016039
C14orf2 	NM_004894
C14orf28 	NM_001017923
C15orf38-AP3S2 	NM_001199058
C15orf57 	NM_052849
C16orf13 	NM_032366
C16orf62 	NM_020314
C16orf72 	NM_014117
C16orf91 	NM_001272051
C17orf49 	NM_174893
C17orf51 	NM_001113434
C17orf58 	NM_181656
C17orf59 	NM_017622
C17orf70 	NM_025161
C17orf85 	NM_001114118
C18orf21 	NM_031446
C18orf25 	NM_145055
C18orf32 	NM_001035005
C18orf8 	NM_013326
C19orf43 	NM_024038
C19orf53 	NM_014047
C19orf60 	NM_001100418
C19orf70 	NM_205767
C1GALT1 	NM_020156
C1QBP 	NM_001212
C1orf109 	NM_017850
C1orf122 	NM_198446
C1orf123 	NM_017887
C1orf174 	NM_207356
C1orf43 	NM_015449
C1orf50 	NM_024097
C1orf52 	NM_198077
C20orf111 	NM_016470
C20orf24 	NM_018840
C21orf2 	NM_004928
C21orf33 	NM_004649
C21orf59 	NM_021254
C22orf28 	NM_014306
C22orf29 	NM_024627
C22orf32 	NM_033318
C2orf47 	NM_024520
C2orf49 	NM_024093
C2orf69 	NM_153689
C2orf74 	NM_001143960
C2orf76 	NM_001017927
C3orf17 	NM_015412
C3orf37 	NM_020187
C3orf38 	NM_173824
C3orf58 	NM_173552
C4orf27 	NM_017867
C4orf3 	NM_001001701
C4orf52 	NM_001145432
C5orf15 	NM_020199
C5orf24 	NM_152409
C6orf1 	NM_178508
C6orf106 	NM_022758
C6orf120 	NM_001029863
C6orf136 	NM_145029
C6orf226 	NM_001008739
C6orf47 	NM_021184
C6orf57 	NM_145267
C6orf62 	NM_030939
C6orf89 	NM_152734
C7orf25 	NM_024054
C7orf26 	NM_024067
C7orf49 	NM_024033
C7orf50 	NM_032350
C7orf55 	NM_197964
C7orf55-LUC7L2 	NM_001244584
C7orf73 	NM_001130929
C8orf33 	NM_023080
C8orf40 	NM_138436
C8orf59 	NM_001099670
C8orf76 	NM_032847
C8orf82 	NM_001001795
C9orf123 	NM_033428
C9orf16 	NM_024112
C9orf37 	NM_032937
C9orf64 	NM_032307
C9orf69 	NM_152833
C9orf78 	NM_016520
C9orf89 	NM_032310
CAB39 	NM_016289
CALCOCO2 	NM_005831
CALM1 	NM_006888
CALR 	NM_004343
CALU 	NM_001219
CAMTA1 	NM_001195563
CAMTA2 	NM_015099
CANT1 	NM_138793
CANX 	NM_001746
CAPN1 	NM_005186
CAPN7 	NM_014296
CAPNS1 	NM_001749
CAPRIN1 	NM_005898
CAPZA2 	NM_006136
CAPZB 	NM_004930
CARKD 	NM_018210
CARS 	NM_001751
CARS2 	NM_024537
CASC3 	NM_007359
CASC4 	NM_138423
CASP3 	NM_004346
CASP7 	NM_001227
CASP9 	NM_001229
CBR4 	NM_032783
CBX3 	NM_007276
CBX5 	NM_012117
CC2D1A 	NM_017721
CC2D1B 	NM_032449
CCAR1 	NM_018237
CCBL1 	NM_001122672
CCDC12 	NM_144716
CCDC124 	NM_138442
CCDC127 	NM_145265
CCDC130 	NM_030818
CCDC137 	NM_199287
CCDC149 	NM_173463
CCDC174 	NM_016474
CCDC22 	NM_014008
CCDC23 	NM_199342
CCDC25 	NM_018246
CCDC47 	NM_020198
CCDC50 	NM_174908
CCDC51 	NM_024661
CCDC59 	NM_014167
CCDC71 	NM_022903
CCDC86 	NM_024098
CCDC90A 	NM_001031713
CCDC92 	NM_025140
CCDC94 	NM_018074
CCM2 	NM_031443
CCNB1IP1 	NM_021178
CCNDBP1 	NM_012142
CCNG1 	NM_004060
CCNH 	NM_001239
CCNK 	NM_001099402
CCNL1 	NM_020307
CCNL2 	NM_030937
CCNY 	NM_145012
CCPG1 	NM_004748
CCT3 	NM_005998
CCT4 	NM_006430
CCT5 	NM_012073
CCT6A 	NM_001762
CCT7 	NM_006429
CCT8 	NM_006585
CD164 	NM_006016
CD320 	NM_016579
CD46 	NM_172350
CD63 	NM_001780
CD81 	NM_004356
CD82 	NM_002231
CD99L2 	NM_031462
CDC123 	NM_006023
CDC16 	NM_003903
CDC23 	NM_004661
CDC27 	NM_001256
CDC37 	NM_007065
CDC37L1 	NM_017913
CDC40 	NM_015891
CDC42 	NM_001791
CDC5L 	NM_001253
CDIP1 	NM_013399
CDIPT 	NM_006319
CDK12 	NM_015083
CDK13 	NM_003718
CDK16 	NM_006201
CDK2AP1 	NM_004642
CDK4 	NM_000075
CDK5RAP1 	NM_016082
CDK8 	NM_001260
CDK9 	NM_001261
CDS2 	NM_003818
CDV3 	NM_017548
CDYL 	NM_004824
CEBPG 	NM_001806
CEBPZ 	NM_005760
CECR5 	NM_017829
CELF1 	NM_006560
CENPB 	NM_001810
CENPT 	NM_025082
CEP104 	NM_014704
CEP57 	NM_001243777
CEP63 	NM_025180
CERK 	NM_022766
CERS2 	NM_022075
CGGBP1 	NM_003663
CHAMP1 	NM_032436
CHCHD1 	NM_203298
CHCHD2 	NM_016139
CHCHD3 	NM_017812
CHCHD4 	NM_144636
CHCHD5 	NM_032309
CHCHD7 	NM_024300
CHD1L 	NM_004284
CHD4 	NM_001273
CHD8 	NM_020920
CHERP 	NM_006387
CHID1 	NM_023947
CHKB 	NM_005198
CHMP1A 	NM_002768
CHMP2A 	NM_014453
CHMP2B 	NM_014043
CHMP4A 	NM_014169
CHMP4B 	NM_176812
CHMP5 	NM_016410
CHMP6 	NM_024591
CHP1 	NM_007236
CHPT1 	NM_020244
CHRAC1 	NM_017444
CHST12 	NM_018641
CHST7 	NM_019886
CHTOP 	NM_015607
CHUK 	NM_001278
CHURC1 	NM_145165
CHURC1-FNTB 	NM_001202558
CIAO1 	NM_004804
CIB1 	NM_006384
CIC 	NM_015125
CINP 	NM_032630
CIR1 	NM_004882
CIRH1A 	NM_032830
CISD1 	NM_018464
CISD2 	NM_001008388
CISD3 	NM_001136498
CKAP4 	NM_006825
CLCC1 	NM_015127
CLCN3 	NM_001829
CLCN7 	NM_001287
CLINT1 	NM_014666
CLK3 	NM_003992
CLNS1A 	NM_001293
CLOCK 	NM_004898
CLP1 	NM_006831
CLPP 	NM_006012
CLPTM1 	NM_001294
CLPTM1L 	NM_030782
CLPX 	NM_006660
CLTA 	NM_001833
CLTB 	NM_001834
CLTC 	NM_004859
CMAS 	NM_018686
CMC1 	NM_182523
CMC2 	NM_020188
CMC4 	NM_001018024
CMPK1 	NM_016308
CNBP 	NM_003418
CNIH 	NM_005776
CNIH4 	NM_014184
CNNM2 	NM_199077
CNNM3 	NM_017623
CNOT1 	NM_016284
CNOT11 	NM_017546
CNOT2 	NM_014515
CNOT3 	NM_014516
CNOT4 	NM_013316
CNOT7 	NM_013354
CNST 	NM_152609
COA1 	NM_018224
COA3 	NM_001040431
COA4 	NM_016565
COA5 	NM_001008215
COA6 	NM_001012985
COASY 	NM_025233
COG1 	NM_018714
COG2 	NM_007357
COG3 	NM_031431
COG4 	NM_015386
COG7 	NM_153603
COG8 	NM_032382
COMMD1 	NM_152516
COMMD10 	NM_016144
COMMD3 	NM_012071
COMMD3-BMI1 	NM_001204062
COMMD5 	NM_014066
COMMD6 	NM_203495
COMMD7 	NM_053041
COMMD9 	NM_014186
COMT 	NM_000754
COPA 	NM_004371
COPB1 	NM_016451
COPB2 	NM_004766
COPE 	NM_007263
COPG1 	NM_016128
COPS2 	NM_004236
COPS3 	NM_003653
COPS4 	NM_016129
COPS5 	NM_006837
COPS6 	NM_006833
COPS7A 	NM_016319
COPS7B 	NM_022730
COPS8 	NM_006710
COPZ1 	NM_016057
COQ10B 	NM_025147
COQ2 	NM_015697
COQ4 	NM_016035
COQ5 	NM_032314
COQ6 	NM_182476
CORO1C 	NM_014325
COX11 	NM_004375
COX14 	NM_032901
COX15 	NM_004376
COX16 	NM_016468
COX19 	NM_001031617
COX20 	NM_198076
COX4I1 	NM_001861
COX5B 	NM_001862
COX6B1 	NM_001863
COX6C 	NM_004374
COX7A2 	NM_001865
COX7A2L 	NM_004718
COX7C 	NM_001867
COX8A 	NM_004074
CPD 	NM_001304
CPNE1 	NM_003915
CPNE2 	NM_152727
CPNE3 	NM_003909
CPOX 	NM_000097
CPSF2 	NM_017437
CPSF3L 	NM_017871
CPSF4 	NM_006693
CPSF6 	NM_007007
CPSF7 	NM_024811
CRADD 	NM_003805
CRBN 	NM_016302
CRCP 	NM_014478
CREB3 	NM_006368
CREBZF 	NM_001039618
CREG1 	NM_003851
CRELD1 	NM_015513
CRIPAK 	NM_175918
CRIPT 	NM_014171
CRK 	NM_005206
CRKL 	NM_005207
CRLS1 	NM_019095
CRNKL1 	NM_016652
CRTC2 	NM_181715
CRY2 	NM_021117
CSGALNACT2 	NM_018590
CSNK1A1 	NM_001892
CSNK1A1L 	NM_145203
CSNK1D 	NM_001893
CSNK1G3 	NM_004384
CSNK2A3 	NM_001256686
CSNK2B 	NM_001320
CSRP2BP 	NM_020536
CST3 	NM_000099
CSTB 	NM_000100
CSTF1 	NM_001324
CSTF2T 	NM_015235
CTAGE5 	NM_005930
CTBP1 	NM_001328
CTCF 	NM_006565
CTDSP2 	NM_005730
CTNNA1 	NM_001903
CTNNB1 	NM_001904
CTNNBIP1 	NM_020248
CTNNBL1 	NM_030877
CTNND1 	NM_001085458
CTSA 	NM_000308
CTSD 	NM_001909
CTTN 	NM_005231
CTU2 	NM_001012759
CUEDC2 	NM_024040
CUL1 	NM_003592
CUL2 	NM_003591
CUL4A 	NM_003589
CUL4B 	NM_003588
CUL5 	NM_003478
CUTA 	NM_015921
CUX1 	NM_001913
CWC15 	NM_016403
CWC22 	NM_020943
CWC25 	NM_017748
CXXC1 	NM_014593
CXXC5 	NM_016463
CXorf40A 	NM_178124
CXorf40B 	NM_001013845
CXorf56 	NM_001170569
CYB5B 	NM_030579
CYB5D2 	NM_001254755
CYB5R3 	NM_000398
CYC1 	NM_001916
CYFIP1 	NM_014608
CYHR1 	NM_138496
CYP2U1 	NM_183075
D2HGDH 	NM_152783
DAD1 	NM_001344
DAG1 	NM_004393
DAGLB 	NM_139179
DALRD3 	NM_018114
DAP3 	NM_004632
DARS 	NM_001349
DARS2 	NM_018122
DAXX 	NM_001350
DAZAP1 	NM_018959
DBT 	NM_001918
DCAF10 	NM_024345
DCAF11 	NM_025230
DCAF12 	NM_015397
DCAF13 	NM_015420
DCAF5 	NM_003861
DCAF7 	NM_005828
DCAF8 	NM_015726
DCAKD 	NM_024819
DCTD 	NM_001921
DCTN2 	NM_006400
DCTN3 	NM_007234
DCTN4 	NM_016221
DCTN5 	NM_032486
DCTN6 	NM_006571
DCTPP1 	NM_024096
DCUN1D3 	NM_173475
DCUN1D4 	NM_015115
DCUN1D5 	NM_032299
DDA1 	NM_024050
DDB1 	NM_001923
DDB2 	NM_000107
DDOST 	NM_005216
DDRGK1 	NM_023935
DDX1 	NM_004939
DDX10 	NM_004398
DDX17 	NM_006386
DDX18 	NM_006773
DDX19A 	NM_018332
DDX19B 	NM_007242
DDX21 	NM_004728
DDX23 	NM_004818
DDX24 	NM_020414
DDX27 	NM_017895
DDX39B 	NM_004640
DDX3X 	NM_001356
DDX41 	NM_016222
DDX42 	NM_007372
DDX46 	NM_014829
DDX47 	NM_016355
DDX49 	NM_019070
DDX54 	NM_024072
DDX56 	NM_019082
DDX59 	NM_001031725
DEDD 	NM_032998
DEF8 	NM_017702
DEGS1 	NM_003676
DEK 	NM_003472
DENND1A 	NM_020946
DENND4A 	NM_005848
DENR 	NM_003677
DERA 	NM_015954
DERL1 	NM_024295
DERL2 	NM_016041
DESI1 	NM_015704
DEXI 	NM_014015
DFFA 	NM_004401
DGCR14 	NM_022719
DGCR2 	NM_001173533
DGCR6L 	NM_033257
DHPS 	NM_001930
DHRS12 	NM_024705
DHRS7B 	NM_015510
DHX15 	NM_001358
DHX16 	NM_003587
DHX29 	NM_019030
DHX30 	NM_014966
DHX32 	NM_018180
DHX33 	NM_020162
DHX36 	NM_020865
DHX38 	NM_014003
DHX8 	NM_004941
DHX9 	NM_001357
DIABLO 	NM_019887
DIDO1 	NM_022105
DIEXF 	NM_014388
DIMT1 	NM_014473
DIRC2 	NM_032839
DIS3 	NM_014953
DIS3L2 	NM_152383
DKC1 	NM_001363
DLD 	NM_000108
DLG1 	NM_004087
DLGAP4 	NM_183006
DLST 	NM_001933
DMAP1 	NM_019100
DNAAF2 	NM_018139
DNAJA2 	NM_005880
DNAJA3 	NM_005147
DNAJB11 	NM_016306
DNAJB12 	NM_017626
DNAJB9 	NM_012328
DNAJC10 	NM_018981
DNAJC11 	NM_018198
DNAJC14 	NM_032364
DNAJC17 	NM_018163
DNAJC19 	NM_145261
DNAJC2 	NM_014377
DNAJC21 	NM_194283
DNAJC3 	NM_006260
DNAJC4 	NM_005528
DNAJC5 	NM_025219
DNAJC7 	NM_003315
DNAJC8 	NM_014280
DNAJC9 	NM_015190
DNASE2 	NM_001375
DNLZ 	NM_001080849
DNM1L 	NM_005690
DNM2 	NM_004945
DNTTIP1 	NM_052951
DNTTIP2 	NM_014597
DOHH 	NM_031304
DOLK 	NM_014908
DPAGT1 	NM_001382
DPH1 	NM_001383
DPH2 	NM_001384
DPH3 	NM_206831
DPH5 	NM_015958
DPM1 	NM_003859
DPP7 	NM_013379
DPY30 	NM_032574
DR1 	NM_001938
DRAM2 	NM_178454
DRAP1 	NM_006442
DRG2 	NM_001388
DROSHA 	NM_013235
DSCR3 	NM_006052
DTWD1 	NM_020234
DUSP11 	NM_003584
DUSP14 	NM_007026
DUSP16 	NM_030640
DUSP22 	NM_020185
DUT 	NM_001948
DVL3 	NM_004423
DYM 	NM_017653
DYNC1LI1 	NM_016141
DYNLL2 	NM_080677
DYNLRB1 	NM_014183
DYNLT1 	NM_006519
E2F4 	NM_001950
E4F1 	NM_004424
EAF1 	NM_033083
EAPP 	NM_018453
EARS2 	NM_001083614
EBAG9 	NM_004215
EBNA1BP2 	NM_006824
ECD 	NM_007265
ECH1 	NM_001398
ECHDC1 	NM_001002030
ECHS1 	NM_004092
ECI1 	NM_001919
ECI2 	NM_006117
ECSIT 	NM_016581
EDC3 	NM_025083
EDC4 	NM_014329
EDEM3 	NM_025191
EDF1 	NM_003792
EED 	NM_003797
EEF1B2 	NM_001959
EEF1E1 	NM_004280
EEF2 	NM_001961
EEFSEC 	NM_021937
EFCAB14 	NM_014774
EFHA1 	NM_152726
EFR3A 	NM_015137
EFTUD1 	NM_024580
EFTUD2 	NM_004247
EGLN2 	NM_053046
EHMT1 	NM_024757
EI24 	NM_004879
EID2 	NM_153232
EIF1 	NM_005801
EIF1AD 	NM_032325
EIF1B 	NM_005875
EIF2A 	NM_032025
EIF2AK1 	NM_014413
EIF2AK3 	NM_004836
EIF2AK4 	NM_001013703
EIF2B2 	NM_014239
EIF2B3 	NM_020365
EIF2B4 	NM_015636
EIF2B5 	NM_003907
EIF2D 	NM_006893
EIF2S1 	NM_004094
EIF2S2 	NM_003908
EIF3A 	NM_003750
EIF3B 	NM_003751
EIF3D 	NM_003753
EIF3E 	NM_001568
EIF3G 	NM_003755
EIF3H 	NM_003756
EIF3I 	NM_003757
EIF3J 	NM_003758
EIF3K 	NM_013234
EIF3L 	NM_016091
EIF3M 	NM_006360
EIF4A1 	NM_001416
EIF4A3 	NM_014740
EIF4E2 	NM_004846
EIF4G1 	NM_004953
EIF4G2 	NM_001418
EIF4G3 	NM_003760
EIF4H 	NM_022170
EIF5 	NM_001969
EIF5A 	NM_001970
EIF5AL1 	NM_001099692
EIF5B 	NM_015904
EIF6 	NM_002212
ELAC2 	NM_018127
ELAVL1 	NM_001419
ELF2 	NM_006874
ELK1 	NM_005229
ELK4 	NM_001973
ELL2 	NM_012081
ELMOD3 	NM_032213
ELOVL1 	NM_022821
ELP2 	NM_018255
ELP3 	NM_018091
ELP4 	NM_019040
ELP6 	NM_001031703
EMC1 	NM_015047
EMC10 	NM_175063
EMC2 	NM_014673
EMC3 	NM_018447
EMC4 	NM_016454
EMC6 	NM_031298
EMC7 	NM_020154
EMC8 	NM_006067
EMC9 	NM_016049
EMD 	NM_000117
EMG1 	NM_006331
ENDOG 	NM_004435
ENOPH1 	NM_021204
ENSA 	NM_004436
ENTPD4 	NM_004901
ENTPD6 	NM_001247
ENY2 	NM_020189
EPC1 	NM_025209
EPM2AIP1 	NM_014805
EPN1 	NM_013333
EPRS 	NM_004446
ERAL1 	NM_005702
ERAP1 	NM_016442
ERCC1 	NM_001983
ERCC2 	NM_000400
ERCC3 	NM_000122
ERCC5 	NM_000123
ERGIC2 	NM_016570
ERGIC3 	NM_015966
ERH 	NM_004450
ERI3 	NM_024066
ERICH1 	NM_207332
ERLEC1 	NM_015701
ERO1L 	NM_014584
ERP44 	NM_015051
ESD 	NM_001984
ESF1 	NM_016649
ETF1 	NM_004730
ETFA 	NM_000126
ETFB 	NM_001985
ETV6 	NM_001987
EWSR1 	NM_005243
EXD2 	NM_018199
EXOC1 	NM_018261
EXOC2 	NM_018303
EXOC3 	NM_007277
EXOC4 	NM_021807
EXOC7 	NM_015219
EXOC8 	NM_175876
EXOSC1 	NM_016046
EXOSC10 	NM_002685
EXOSC2 	NM_014285
EXOSC4 	NM_019037
EXOSC7 	NM_015004
EXOSC8 	NM_181503
EXT2 	NM_207122
EXTL3 	NM_001440
FADD 	NM_003824
FAF1 	NM_007051
FAF2 	NM_014613
FAHD1 	NM_031208
FAM104B 	NM_138362
FAM108A1 	NM_031213
FAM108B1 	NM_016014
FAM114A2 	NM_018691
FAM118B 	NM_024556
FAM120A 	NM_014612
FAM120AOS 	NM_198841
FAM120B 	NM_032448
FAM122A 	NM_138333
FAM127B 	NM_001078172
FAM134A 	NM_024293
FAM134C 	NM_178126
FAM136A 	NM_032822
FAM149B1 	NM_173348
FAM160A2 	NM_032127
FAM160B1 	NM_020940
FAM160B2 	NM_022749
FAM162A 	NM_014367
FAM168B 	NM_001009993
FAM173A 	NM_023933
FAM173B 	NM_001258388
FAM174A 	NM_198507
FAM175B 	NM_032182
FAM177A1 	NM_173607
FAM178A 	NM_001243770
FAM192A 	NM_024946
FAM199X 	NM_207318
FAM200A 	NM_145111
FAM204A 	NM_022063
FAM206A 	NM_017832
FAM208B 	NM_017782
FAM20B 	NM_014864
FAM210B 	NM_080821
FAM32A 	NM_014077
